founded_year,name,full_name,current_team
1946,Los Angeles Lakers,Jay Vincent Jay Fletcher Vincent,Los Angeles Lakers
1989,Orlando Magic,Mark Price,Orlando Magic
1968,Milwaukee Bucks,Erick Strickland,Milwaukee Bucks
1923,Sacramento Kings,Derek Grimm,Sacramento Kings
1946,Los Angeles Lakers,Anthony Marshon Davis Jr.,Los Angeles Lakers
1967,Houston Rockets,Brandan Keith Wright,Houston Rockets
1946,New York Knicks,Kenneth Apple Green,New York Knicks
1946,New York Knicks,Don Anielak,New York Knicks
1946,Los Angeles Lakers,Philip Douglas Jackson,Los Angeles Lakers
1946,Philadelphia 76ers,Drew Edward Gordon,Philadelphia 76ers
1937,Detroit Pistons,Jarrett Jack,Detroit Pistons
1946,Philadelphia 76ers,Lavoy Allen,Philadelphia 76ers
1946,Los Angeles Lakers,Magic Johnson,Los Angeles Lakers
1946,Boston Celtics,Stanley M. Noszka,Boston Celtics
1937,Detroit Pistons,Isiah Thomas,Detroit Pistons
1970,Portland Trail Blazers,Dan Anderson,Portland Trail Blazers
1966,Chicago Bulls,Trent Tucker,Chicago Bulls
1968,Phoenix Suns,Miles Julian Simon,Phoenix Suns
1968,Milwaukee Bucks,Guy William Rodgers,Milwaukee Bucks
1980,Dallas Mavericks,Vernon Maxwell,Dallas Mavericks
1967,San Antonio Spurs,Tim Duncan,San Antonio Spurs
1946,New York Knicks,Calvin Ramsey,New York Knicks
1970,Cleveland Cavaliers,Derrick Chievous,Cleveland Cavaliers
1967,Indiana Pacers,Rik Smits,Indiana Pacers
1989,Minnesota Timberwolves,Anthony Edwards,Minnesota Timberwolves
1937,Detroit Pistons,Harry Junior The Horse Gallatin,Detroit Pistons
1946,Golden State Warriors,Darnell Hillman,Golden State Warriors
1946,New York Knicks,Kurt Thomas,New York Knicks
1968,Phoenix Suns,Kevin Wayne Durant,Phoenix Suns
1970,Los Angeles Clippers,Aaron Williams,Los Angeles Clippers
1995,Toronto Raptors,Nathaniel Thomas Huffman,Toronto Raptors
1967,Houston Rockets,Rodney Strickland,Houston Rockets
1995,Memphis Grizzlies,Lamar Brandon Stevens,Memphis Grizzlies
1946,Golden State Warriors,Steve Kerr,Golden State Warriors
1967,Indiana Pacers,Gregory Clinton Foster,Indiana Pacers
1946,Los Angeles Lakers,Bill Hewitt,Los Angeles Lakers
1970,Portland Trail Blazers,Jabari Dominic Walker,Portland Trail Blazers
1967,Brooklyn Nets,Jamal Crawford,Brooklyn Nets
1946,Golden State Warriors,Kermit Washington,Golden State Warriors
1946,New York Knicks,Greg Fillmore Gregory Paul Fillmore,New York Knicks
1967,Houston Rockets,John Harding Lucas II,Houston Rockets
1946,Boston Celtics,Garfield Smith,Boston Celtics
1967,Brooklyn Nets,Dennis Schroder,Brooklyn Nets
1980,Dallas Mavericks,Monti Davis DaMon William Monti Davis,Dallas Mavericks
1974,Utah Jazz,Eric Johnson Jones,Utah Jazz
1946,Golden State Warriors,Trayce Jackson-Davis,Golden State Warriors
1946,Philadelphia 76ers,Andre Jamal Drummond,Philadelphia 76ers
1946,Golden State Warriors,Chavano Rainer Buddy Hield,Golden State Warriors
1946,Los Angeles Lakers,DAngelo Russell,Los Angeles Lakers
1946,Philadelphia 76ers,Joel Hans Embiid,Philadelphia 76ers
1946,Philadelphia 76ers,Paul Clifton Anthony George,Philadelphia 76ers
1980,Dallas Mavericks,Kyrie Andrew Irving,Dallas Mavericks
1946,Boston Celtics,Jayson Christopher Tatum,Boston Celtics
1946,Philadelphia 76ers,Caleb Martin,Philadelphia 76ers
1946,Golden State Warriors,Andrew Christian Wiggins,Golden State Warriors
1946,Philadelphia 76ers,Max Berning Fiedler,Philadelphia 76ers
1946,New York Knicks,Ogugua OG Anunoby Jr.,New York Knicks
1946,Boston Celtics,Jaylen Marselles Brown,Boston Celtics
1967,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs
1946,Boston Celtics,Jrue Randall Holiday,Boston Celtics
1946,Los Angeles Lakers,Austin Tyler Reaves,Los Angeles Lakers
1988,Miami Heat,Kevin Wesley Love,Miami Heat
1968,Milwaukee Bucks,Giannis Sina Ugo Antetokounmpo,Milwaukee Bucks
1946,Golden State Warriors,Wardell Stephen Curry II,Golden State Warriors
1946,Boston Celtics,Alfred Joel Horford Reynoso,Boston Celtics
1946,Golden State Warriors,Kyle Forman Anderson,Golden State Warriors
1967,Houston Rockets,Erick Strickland,Houston Rockets
1946,New York Knicks,Kenneth Apple Green,New York Knicks
1946,New York Knicks,Don Anielak,New York Knicks
1946,Los Angeles Lakers,Philip Douglas Jackson,Los Angeles Lakers
1946,Philadelphia 76ers,Drew Edward Gordon,Philadelphia 76ers
1937,Detroit Pistons,Jarrett Jack,Detroit Pistons
1946,Philadelphia 76ers,Lavoy Allen,Philadelphia 76ers
1946,Los Angeles Lakers,Magic Johnson,Los Angeles Lakers
1946,Boston Celtics,Stanley M. Noszka,Boston Celtics
1937,Detroit Pistons,Isiah Thomas,Detroit Pistons
1970,Portland Trail Blazers,Dan Anderson,Portland Trail Blazers
1966,Chicago Bulls,Trent Tucker,Chicago Bulls
1968,Phoenix Suns,Miles Julian Simon,Phoenix Suns
1968,Milwaukee Bucks,Guy William Rodgers,Milwaukee Bucks
1980,Dallas Mavericks,Vernon Maxwell,Dallas Mavericks
1967,San Antonio Spurs,Tim Duncan,San Antonio Spurs
1946,New York Knicks,Calvin Ramsey,New York Knicks
1970,Cleveland Cavaliers,Derrick Chievous,Cleveland Cavaliers
1967,Indiana Pacers,Rik Smits,Indiana Pacers
1989,Minnesota Timberwolves,Anthony Edwards,Minnesota Timberwolves
1937,Detroit Pistons,Harry Junior The Horse Gallatin,Detroit Pistons
1946,Golden State Warriors,Darnell Hillman,Golden State Warriors
1946,New York Knicks,Kurt Thomas,New York Knicks
1968,Phoenix Suns,Kevin Wayne Durant,Phoenix Suns
1970,Los Angeles Clippers,Aaron Williams,Los Angeles Clippers
1995,Toronto Raptors,Nathaniel Thomas Huffman,Toronto Raptors
1967,Houston Rockets,Rodney Strickland,Houston Rockets
1995,Memphis Grizzlies,Lamar Brandon Stevens,Memphis Grizzlies
1946,Golden State Warriors,Steve Kerr,Golden State Warriors
1967,Indiana Pacers,Gregory Clinton Foster,Indiana Pacers
1946,Los Angeles Lakers,Bill Hewitt,Los Angeles Lakers
1970,Portland Trail Blazers,Jabari Dominic Walker,Portland Trail Blazers
1967,Brooklyn Nets,Jamal Crawford,Brooklyn Nets
1946,Golden State Warriors,Kermit Washington,Golden State Warriors
1946,New York Knicks,Greg Fillmore Gregory Paul Fillmore,New York Knicks
1967,Houston Rockets,John Harding Lucas II,Houston Rockets
1946,Boston Celtics,Garfield Smith,Boston Celtics
1967,Brooklyn Nets,Dennis Schroder,Brooklyn Nets
1980,Dallas Mavericks,Monti Davis DaMon William Monti Davis,Dallas Mavericks
1974,Utah Jazz,Eric Johnson Jones,Utah Jazz
1946,Golden State Warriors,Trayce Jackson-Davis,Golden State Warriors
1946,Philadelphia 76ers,Andre Jamal Drummond,Philadelphia 76ers
1946,Golden State Warriors,Chavano Rainer Buddy Hield,Golden State Warriors
1946,Los Angeles Lakers,DAngelo Russell,Los Angeles Lakers
1946,Philadelphia 76ers,Joel Hans Embiid,Philadelphia 76ers
1946,Philadelphia 76ers,Paul Clifton Anthony George,Philadelphia 76ers
1980,Dallas Mavericks,Kyrie Andrew Irving,Dallas Mavericks
1946,Boston Celtics,Jayson Christopher Tatum,Boston Celtics
1946,Philadelphia 76ers,Caleb Martin,Philadelphia 76ers
1946,Golden State Warriors,Andrew Christian Wiggins,Golden State Warriors
1946,Philadelphia 76ers,Max Berning Fiedler,Philadelphia 76ers
1946,New York Knicks,Ogugua OG Anunoby Jr.,New York Knicks
1946,Boston Celtics,Jaylen Marselles Brown,Boston Celtics
1967,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs
1946,Boston Celtics,Jrue Randall Holiday,Boston Celtics
1946,Los Angeles Lakers,Austin Tyler Reaves,Los Angeles Lakers
1988,Miami Heat,Kevin Wesley Love,Miami Heat
1968,Milwaukee Bucks,Giannis Sina Ugo Antetokounmpo,Milwaukee Bucks
1946,Golden State Warriors,Wardell Stephen Curry II,Golden State Warriors
1946,Boston Celtics,Alfred Joel Horford Reynoso,Boston Celtics
1946,Golden State Warriors,Kyle Forman Anderson,Golden State Warriors
1967,Houston Rockets,Erick Strickland,Houston Rockets
1946,New York Knicks,Kenneth Apple Green,New York Knicks
1946,New York Knicks,Don Anielak,New York Knicks
1946,Los Angeles Lakers,Philip Douglas Jackson,Los Angeles Lakers
1946,Philadelphia 76ers,Drew Edward Gordon,Philadelphia 76ers
1937,Detroit Pistons,Jarrett Jack,Detroit Pistons
1946,Philadelphia 76ers,Lavoy Allen,Philadelphia 76ers
1946,Los Angeles Lakers,Magic Johnson,Los Angeles Lakers
1946,Boston Celtics,Stanley M. Noszka,Boston Celtics
1937,Detroit Pistons,Isiah Thomas,Detroit Pistons
1970,Portland Trail Blazers,Dan Anderson,Portland Trail Blazers
1966,Chicago Bulls,Trent Tucker,Chicago Bulls
1968,Phoenix Suns,Miles Julian Simon,Phoenix Suns
1968,Milwaukee Bucks,Guy William Rodgers,Milwaukee Bucks
1980,Dallas Mavericks,Vernon Maxwell,Dallas Mavericks
1967,San Antonio Spurs,Tim Duncan,San Antonio Spurs
1946,New York Knicks,Calvin Ramsey,New York Knicks
1970,Cleveland Cavaliers,Derrick Chievous,Cleveland Cavaliers
1967,Indiana Pacers,Rik Smits,Indiana Pacers
1989,Minnesota Timberwolves,Anthony Edwards,Minnesota Timberwolves
1937,Detroit Pistons,Harry Junior The Horse Gallatin,Detroit Pistons
1946,Golden State Warriors,Darnell Hillman,Golden State Warriors
1946,New York Knicks,Kurt Thomas,New York Knicks
1968,Phoenix Suns,Kevin Wayne Durant,Phoenix Suns
1970,Los Angeles Clippers,Aaron Williams,Los Angeles Clippers
1995,Toronto Raptors,Nathaniel Thomas Huffman,Toronto Raptors
1967,Houston Rockets,Rodney Strickland,Houston Rockets
1995,Memphis Grizzlies,Lamar Brandon Stevens,Memphis Grizzlies
1946,Golden State Warriors,Steve Kerr,Golden State Warriors
1967,Indiana Pacers,Gregory Clinton Foster,Indiana Pacers
1946,Los Angeles Lakers,Bill Hewitt,Los Angeles Lakers
1970,Portland Trail Blazers,Jabari Dominic Walker,Portland Trail Blazers
1967,Brooklyn Nets,Jamal Crawford,Brooklyn Nets
1946,Golden State Warriors,Kermit Washington,Golden State Warriors
1946,New York Knicks,Greg Fillmore Gregory Paul Fillmore,New York Knicks
1967,Houston Rockets,John Harding Lucas II,Houston Rockets
1946,Boston Celtics,Garfield Smith,Boston Celtics
1967,Brooklyn Nets,Dennis Schroder,Brooklyn Nets
1980,Dallas Mavericks,Monti Davis DaMon William Monti Davis,Dallas Mavericks
1974,Utah Jazz,Eric Johnson Jones,Utah Jazz
1946,Golden State Warriors,Trayce Jackson-Davis,Golden State Warriors
1946,Philadelphia 76ers,Andre Jamal Drummond,Philadelphia 76ers
1946,Golden State Warriors,Chavano Rainer Buddy Hield,Golden State Warriors
1946,Los Angeles Lakers,DAngelo Russell,Los Angeles Lakers
1946,Philadelphia 76ers,Joel Hans Embiid,Philadelphia 76ers
1946,Philadelphia 76ers,Paul Clifton Anthony George,Philadelphia 76ers
1980,Dallas Mavericks,Kyrie Andrew Irving,Dallas Mavericks
1946,Boston Celtics,Jayson Christopher Tatum,Boston Celtics
1946,Philadelphia 76ers,Caleb Martin,Philadelphia 76ers
1946,Golden State Warriors,Andrew Christian Wiggins,Golden State Warriors
1946,Philadelphia 76ers,Max Berning Fiedler,Philadelphia 76ers
1946,New York Knicks,Ogugua OG Anunoby Jr.,New York Knicks
