NULL,founded_year,full_name,location
,1989,Anthony Edwards,Minneapolis
,1995,Lamar Brandon Stevens,Memphis
,1970,Jabari Dominic Walker,Portland
,1946,Trayce Jackson-Davis,San Francisco
,1946,DAngelo Russell,Los Angeles
,1946,Jayson Christopher Tatum,Boston
,1946,Caleb Martin,Philadelphia
,1946,Andrew Christian Wiggins,San Francisco
,1946,Max Berning Fiedler,Philadelphia
,1946,Ogugua OG Anunoby Jr.,New York City
,1946,Jaylen Marselles Brown,Boston
,1967,Victor Wembanyama,San Antonio
,1946,Austin Tyler Reaves,Los Angeles
,1989,Anthony Edwards,Minneapolis
,1995,Lamar Brandon Stevens,Memphis
,1970,Jabari Dominic Walker,Portland
,1946,Trayce Jackson-Davis,San Francisco
,1946,DAngelo Russell,Los Angeles
,1946,Jayson Christopher Tatum,Boston
,1946,Caleb Martin,Philadelphia
,1946,Andrew Christian Wiggins,San Francisco
,1946,Max Berning Fiedler,Philadelphia
,1946,Ogugua OG Anunoby Jr.,New York City
,1946,Jaylen Marselles Brown,Boston
,1967,Victor Wembanyama,San Antonio
,1946,Austin Tyler Reaves,Los Angeles
,1989,Anthony Edwards,Minneapolis
,1995,Lamar Brandon Stevens,Memphis
,1970,Jabari Dominic Walker,Portland
,1946,Trayce Jackson-Davis,San Francisco
,1946,DAngelo Russell,Los Angeles
,1946,Jayson Christopher Tatum,Boston
,1946,Caleb Martin,Philadelphia
,1946,Andrew Christian Wiggins,San Francisco
,1946,Max Berning Fiedler,Philadelphia
,1946,Ogugua OG Anunoby Jr.,New York City
,1946,Jaylen Marselles Brown,Boston
,1967,Victor Wembanyama,San Antonio
,1946,Austin Tyler Reaves,Los Angeles
,1989,Anthony Edwards,Minneapolis
,1995,Lamar Brandon Stevens,Memphis
,1970,Jabari Dominic Walker,Portland
,1946,Trayce Jackson-Davis,San Francisco
,1946,DAngelo Russell,Los Angeles
,1946,Jayson Christopher Tatum,Boston
,1946,Caleb Martin,Philadelphia
,1946,Andrew Christian Wiggins,San Francisco
,1946,Max Berning Fiedler,Philadelphia
,1946,Ogugua OG Anunoby Jr.,New York City
,1946,Jaylen Marselles Brown,Boston
,1967,Victor Wembanyama,San Antonio
,1946,Austin Tyler Reaves,Los Angeles
,1989,Anthony Edwards,Minneapolis
,1995,Lamar Brandon Stevens,Memphis
,1970,Jabari Dominic Walker,Portland
,1946,Trayce Jackson-Davis,San Francisco
,1946,DAngelo Russell,Los Angeles
,1946,Jayson Christopher Tatum,Boston
,1946,Caleb Martin,Philadelphia
,1946,Andrew Christian Wiggins,San Francisco
,1946,Max Berning Fiedler,Philadelphia
,1946,Ogugua OG Anunoby Jr.,New York City
,1946,Jaylen Marselles Brown,Boston
,1967,Victor Wembanyama,San Antonio
