name,nationality,age,team_name,location,id,player.id,team.id
andrew christian wiggins,Canadian,29.0,Golden State Warriors,San Francisco,,,
anthony edwards,American,24.0,Minnesota Timberwolves,Minneapolis,,,
anthony marshon davis,American,32.0,Los Angeles Lakers,Los Angeles,,,
ausar xlnc thompson,American,22.0,Detroit Pistons,Downtown Detroit,,,
cade parker cunningham,American,23.0,Detroit Pistons,Downtown Detroit,,,
"chavano rainer ""buddy"" hield",Bahamian,32.0,Golden State Warriors,San Francisco,,,
christopher emmanuel paul,American,39.0,San Antonio Spurs,San Antonio,,,
d'angelo russell,American,27.0,Los Angeles Lakers,Los Angeles,,,
darnell hillman,American,73.95205479452055,Indiana Pacers,Indianapolis,,,
derrick chievous,American,,Houston Rockets,Houston,,,
devin armani booker,American-born naturalized Azerbaijani,28.0,Phoenix Suns,"Phoenix, Arizona",,,
draymond jamal green,American,35.0,Golden State Warriors,San Francisco,,,
duncan mcbryde robinson,American,31.0,Miami Heat,Miami,,,
"edrice femi ""bam"" adebayo",American-born naturalized Nigerian,28.0,Miami Heat,Miami,,,
erick strickland,American,,Dallas Mavericks,Dallas,,,
garfield smith,American,,Boston Celtics,Boston,,,
giannis sina ugo antetokounmpo,Greek and Nigerian,30.0,Milwaukee Bucks,Milwaukee,,,
greg fillmore gregory paul fillmore,,,New York Knicks,Manhattan,,,
harrison bryce jordan barnes,American,32.0,San Antonio Spurs,San Antonio,,,
jabari dominic walker,American,23.0,Portland Trail Blazers,"Portland, Oregon",,,
jaden edward dhananjay ivey,American,21.0,Detroit Pistons,Downtown Detroit,,,
jaime jaquez,Mexican-American,24.0,Miami Heat,Miami,,,
jalen marquis brunson,American,28.0,New York Knicks,Manhattan,,,
jay vincent jay fletcher vincent,American,,Dallas Mavericks,Dallas,,,
jaylen marselles brown,American,27.0,Boston Celtics,Boston,,,
jayson christopher tatum,American,28.0,Boston Celtics,Boston,,,
jimmy butler,American,35.0,Miami Heat,Miami,,,
john harding lucas,American,,Houston Rockets,Houston,,,
jonathan malangu kuminga,Congolese,21.0,Golden State Warriors,San Francisco,,,
jrue randall holiday,American,34.5,Boston Celtics,Boston,,,
"kenneth ""apple"" green",American,65.97222222222221,New York Knicks,Manhattan,,,
kermit washington,American,21.0,Los Angeles Lakers,Los Angeles,,,
kevin wayne durant,American,36.0,Phoenix Suns,"Phoenix, Arizona",,,
kevin wesley love,American,36.0,Cleveland Cavaliers,Cleveland,,,
kevon grant looney,American,27.0,Golden State Warriors,San Francisco,,,
kobe bean bryant,American,17.0,Los Angeles Lakers,Los Angeles,,,
kurt thomas,American,52.976301369863,Miami Heat,Miami,,,
kyle forman anderson,American-Chinese,31.0,Golden State Warriors,San Francisco,,,
kyrie andrew irving,American,33.0,Dallas Mavericks,Dallas,,,
lamar brandon stevens,American,25.0,Boston Celtics,Boston,,,
lebron raymone james,American-born naturalized Azerbaijani,40.0,Los Angeles Lakers,Los Angeles,,,
lonzo anderson ball,American,27.0,Chicago Bulls,Chicago,,,
mark price,American,,Cleveland Cavaliers,Cleveland,,,
"ogugua ""og"" anunoby",British,25.98472222222222,New York Knicks,Manhattan,,,
rik smits,Dutch,58.0,Indiana Pacers,Indianapolis,,,
shaquille rashaun o'neal,American,53.0,Los Angeles Lakers,Los Angeles,,,
trayce jackson-davis,American,24.0,Golden State Warriors,San Francisco,,,
trent tucker,American,,New York Knicks,Manhattan,,,
tyler christopher herro,American,25.0,Miami Heat,Miami,,,
vernon maxwell,American,,Houston Rockets,Houston,,,
victor wembanyama,French,21.0,San Antonio Spurs,San Antonio,,,
wardell stephen curry,American,37.0,Golden State Warriors,San Francisco,,,
zach collins,American,27.0,San Antonio Spurs,San Antonio,,,
zachary thomas lavine,American,28.0,Chicago Bulls,Chicago,,,
