nationality,count_all
African-American,1
American,16
American-born naturalized,3
American-born naturalized American,5
American-born naturalized Australian,1
American-born naturalized Azerbaijani,13
American-born naturalized British,1
American-born naturalized Cameroonian-American,1
American-born naturalized Greek-American,1
American-born naturalized Nigerian,1
American-born naturalized Norwegian,1
American-born naturalized white,1
British,1
Canadian,2
Congolese-American,1
Croatian,1
Dominican-American,1
Dutch,1
Greek and Nigerian professional basketball player,1
Nigerian-American,1
