name,position,team,age,file
Dennis Schröder,Backcourt,Brooklyn Nets,30,93
Shawn Christopher Respert,Backcourt,Milwaukee Bucks,52 (as of 2025/1/1 - birth_date),60
Lamar Brandon Stevens,Frontcourt,Memphis Grizzlies,26,63
Jaylen Brown,Backcourt,Boston Celtics,27,110
Phil Jackson,,,78 (as of 2023),21
Marv Roberts,Frontcourt,Los Angeles Lakers,73,17
Askia Rahman Jones,Backcourt,Empty,2025/1/1 - 1971/12/03 = 53,14
Max Fiedler,Frontcourt,Philadelphia 76ers,23,108
Nate Huffman,Frontcourt,Maccabi Tel Aviv,40,56
Andre Drummond,Frontcourt,Philadelphia 76ers,30,99
