founded_year,ownership,team_name,id,team.id
1946,,atlanta hawks,,
1946,,boston celtics,,
1967,Joseph Tsai,brooklyn nets,,
1988,Gabe Plotkin and Rick Schnall,charlotte hornets,,
1970,Dan Gilbert,cleveland cavaliers,,
1980,Mark Cuban,dallas mavericks,,
1967,,denver nuggets,,
1967,,indiana pacers,,
1970,Shelly Sterling (as of the latest data),los angeles clippers,,
1946,,los angeles lakers,,
1995,,memphis grizzlies,,
1988,,miami heat,,
1989,Glen Taylor,minnesota timberwolves,,
2002,,new orleans pelicans,,
1967,,oklahoma city thunder,,
1946,Harris Blitzer Sports & Entertainment (HBSE),philadelphia 76ers,,
1968,,phoenix suns,,
1970,Paul Allen via Vulcan Inc.,portland trail blazers,,
1946,,sacramento kings,,
1973,,san antonio spurs,,
1995,,toronto raptors,,
1961,Ted Leonsis through Monumental Sports & Entertainment,washington wizards,,
