name,nationality,age,team_name,location,id,player.id,team.id
aaron williams,American,53.0,Utah Jazz,Salt Lake City,,,
andre jamal drummond,American,32.0,Philadelphia 76ers,"Camden, New Jersey",,,
andrew christian wiggins,Canadian,29.0,Golden State Warriors,San Francisco,,,
anthony edwards,American,25.0,Minnesota Timberwolves,Minneapolis,,,
anthony marshon davis,American,32.0,Los Angeles Lakers,Downtown Los Angeles,,,
austin tyler reaves,American,26.0,Los Angeles Lakers,Downtown Los Angeles,,,
caleb martin,American,27.35,Philadelphia 76ers,"Camden, New Jersey",,,
"chavano rainer ""buddy"" hield",Bahamian,32.0,Philadelphia 76ers,"Camden, New Jersey",,,
christopher emmanuel paul,American,39.0,San Antonio Spurs,San Antonio,,,
d'angelo russell,American,,Los Angeles Lakers,Downtown Los Angeles,,,
darnell hillman,,73.0,Indiana Pacers,Indianapolis,,,
devin armani booker,Mexican-American and Puerto Rican,28.0,Phoenix Suns,Phoenix,,,
draymond jamal green,American,35.0,Golden State Warriors,San Francisco,,,
duncan mcbryde robinson,American,31.0,Miami Heat,Miami,,,
"edrice femi ""bam"" adebayo",American-born naturalized Nigerian,28.0,Miami Heat,Miami,,,
giannis sina ugo antetokounmpo,Greek and Nigerian,29.0,Milwaukee Bucks,Milwaukee,,,
greg fillmore gregory paul fillmore,,,New York Knicks,New York City,,,
harrison bryce jordan barnes,American,33.0,San Antonio Spurs,San Antonio,,,
"harry junior ""the horse"" gallatin",American,,New York Knicks,New York City,,,
jabari dominic walker,American,23.0,Portland Trail Blazers,Portland,,,
jaime jaquez,Mexican-American,24.0,Miami Heat,Miami,,,
jalen marquis brunson,American,29.0,New York Knicks,New York City,,,
jamal crawford,American,25.0,New York Knicks,New York City,,,
jarrett jack,American,41.958333333333336,New York Knicks,New York City,,,
jaylen marselles brown,American,27.0,Boston Celtics,Boston,,,
jayson christopher tatum,American,28.0,Boston Celtics,Boston,,,
jimmy butler,American,35.0,Miami Heat,Miami,,,
joel hans embiid,Cameroonian-American,31.0,Philadelphia 76ers,"Camden, New Jersey",,,
jonathan malangu kuminga,Congolese,22.0,Golden State Warriors,San Francisco,,,
jrue randall holiday,American,35.0,Boston Celtics,Boston,,,
"kenneth ""apple"" green",American,,New York Knicks,New York City,,,
kermit washington,American,73.0,Los Angeles Lakers,Downtown Los Angeles,,,
kevin wayne durant,American,36.0,Phoenix Suns,Phoenix,,,
kevin wesley love,American,,Miami Heat,Miami,,,
kevon grant looney,American,,Golden State Warriors,San Francisco,,,
kobe bean bryant,American,41.0,Los Angeles Lakers,Downtown Los Angeles,,,
kurt thomas,American,,New York Knicks,New York City,,,
kyle forman anderson,American-Chinese,,Golden State Warriors,San Francisco,,,
kyle terrell lowry,American,39.0,Philadelphia 76ers,"Camden, New Jersey",,,
kyrie andrew irving,American,33.0,Dallas Mavericks,Dallas,,,
lamar brandon stevens,American,28.0,Boston Celtics,Boston,,,
lebron raymone james,American,40.0,Los Angeles Lakers,Downtown Los Angeles,,,
lonzo anderson ball,American,27.0,Chicago Bulls,Chicago,,,
magic johnson,American,42.0,Los Angeles Lakers,Downtown Los Angeles,,,
mark price,American,,Cleveland Cavaliers,Cleveland,,,
max berning fiedler,American,24.0,Philadelphia 76ers,"Camden, New Jersey",,,
"ogugua ""og"" anunoby",British,25.97,New York Knicks,New York City,,,
paul clifton anthony george,American,,Philadelphia 76ers,"Camden, New Jersey",,,
rik smits,Dutch,,Indiana Pacers,Indianapolis,,,
rodney strickland,American,,New York Knicks,New York City,,,
shaquille rashaun o'neal,American,33.0,Orlando Magic,Orlando,,,
trayce jackson-davis,American,23.0,Golden State Warriors,San Francisco,,,
trent tucker,American,,New York Knicks,New York City,,,
tyler christopher herro,American,24.0,Miami Heat,Miami,,,
vernon maxwell,American,,Houston Rockets,Houston,,,
victor wembanyama,French,19.0,San Antonio Spurs,San Antonio,,,
wardell stephen curry,American,37.0,Golden State Warriors,San Francisco,,,
zach collins,American,,San Antonio Spurs,San Antonio,,,
zachary thomas lavine,American,28.0,Chicago Bulls,Chicago,,,
