name,draft_pick,college,team_name,id,player.id,team.id
andre jamal drummond,first round of the 2012 NBA draft with the ninth overall pick,University of Connecticut,Detroit Pistons,,,
andrew christian wiggins,first overall pick in the 2014 NBA draft by the Cleveland Cavaliers,University of Kansas,Minnesota Timberwolves,,,
anthony edwards,first overall pick,University of Georgia,Minnesota Timberwolves,,,
ausar xlnc thompson,fifth overall,,Detroit Pistons,,,
cade parker cunningham,first overall by the Pistons,Oklahoma State,Detroit Pistons,,,
christopher emmanuel paul,2005 NBA Draft,Wake Forest University,Phoenix Suns,,,
d'angelo russell,27,Ohio State Buckeyes,Los Angeles Lakers,,,
derek grimm,50th overall in the 1997 CBA Draft,University of Missouri,Sacramento Kings,,,
devin armani booker,13th pick,Kentucky,Phoenix Suns,,,
draymond jamal green,35,Michigan State University,Golden State Warriors,,,
giannis sina ugo antetokounmpo,30th overall,,Bucks,,,
harrison bryce jordan barnes,7th,University of North Carolina,Sacramento Kings,,,
isiah thomas,4th round (35th pick overall) of the 1951 NBA draft,Indiana University,Detroit Pistons,,,
jabari dominic walker,57th overall pick,Colorado,Portland Trail Blazers,,,
jaden edward dhananjay ivey,"{""value"": ""fifth overall pick in the 2022 NBA draft"", ""span"": ""He was selected with the fifth overall pick in the 2022 NBA draft by the Detroit Pistons.""}",Purdue Boilermakers,Detroit Pistons,,,
jalen marquis brunson,33,Villanova,Dallas Mavericks,,,
jamal crawford,8th overall,University of Michigan,Phoenix Suns,,,
jaylen marselles brown,third overall pick,,Boston Celtics,,,
jayson christopher tatum,No. 3 overall,Duke University,Boston Celtics,,,
jimmy butler,30,Marquette University,Miami Heat,,,
joel hans embiid,third overall by the 76ers in the 2014 NBA draft,Kansas Jayhawks,Philadelphia 76ers,,,
jonathan malangu kuminga,7th pick in the 2021 NBA draft,,Golden State Warriors,,,
jrue randall holiday,17,UCLA,Philadelphia 76ers,,,
kevin wesley love,fifth overall by the Memphis Grizzlies,UCLA,Miami Heat,,,
kevon grant looney,30,UCLA,Warriors,,,
kyle forman anderson,30,UCLA Bruins,Golden State Warriors,,,
kyle terrell lowry,24th overall pick,Villanova,Miami Heat,,,
kyrie andrew irving,first overall pick in the 2011 NBA draft,Duke Blue Devils,Dallas Mavericks,,,
lebron raymone james,5th overall pick in 2003 NBA draft,,Cleveland Cavaliers,,,
lonzo anderson ball,second overall pick of the 2017 NBA draft,UCLA Bruins,Pelicans,,,
"ogugua ""og"" anunoby",23,Indiana University,New York Knicks,,,
paul clifton anthony george,10,Fresno State Bulldogs,Indiana Pacers,,,
trent tucker,6th overall pick of the 1982 NBA draft,University of Minnesota,New York Knicks,,,
tyler christopher herro,13,University of Kentucky,Miami Heat,,,
vernon maxwell,second round of the 1988 NBA draft,University of Florida,Houston Rockets,,,
wardell stephen curry,17th overall by the Philadelphia 76ers in the 2009 NBA draft,Davidson College,Golden State Warriors,,,
zach collins,10th overall pick in the 2017 NBA draft,Gonzaga,San Antonio Spurs,,,
zachary thomas lavine,13,UCLA Bruins,Chicago Bulls,,,
