city_name,state_name,team_name,name,college
boston,Massachusetts,Boston Celtics,Stanley M. Noszka,
boston,Massachusetts,Boston Celtics,Garfield Smith,
boston,Massachusetts,Boston Celtics,Jayson Christopher Tatum,Duke University
boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,"University of California, Berkeley"
boston,Massachusetts,Boston Celtics,Jrue Randall Holiday,UCLA
chicago,Illinois,Chicago Bulls,Trent Tucker,University of Minnesota
chicago,Illinois,Chicago Bulls,Zachary Thomas LaVine,UCLA
dallas,Texas,Dallas Mavericks,Vernon Maxwell,University of Florida
indianapolis,Indiana,Indiana Pacers,Rik Smits,Marist College
miami,Florida,Miami Heat,Kevin Wesley Love,UCLA
miami,Florida,Miami Heat,Tyler Christopher Herro,University of Kentucky
miami,Florida,Miami Heat,Duncan McBryde Robinson,"Williams College, University of Michigan"
miami,Florida,Miami Heat,Jimmy Butler III,Marquette University
miami,Florida,Miami Heat,Jaime Jaquez Jr.,UCLA
miami,Florida,Miami Heat,"Edrice Femi ""Bam"" Adebayo",University of Kentucky
milwaukee,Wisconsin,Milwaukee Bucks,Erick Strickland,University of Nebraska
milwaukee,Wisconsin,Milwaukee Bucks,Guy William Rodgers,Temple University
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,Georgia
new york city,New York,New York Knicks,"Kenneth ""Apple"" Green",Pan American University
new york city,New York,New York Knicks,Don Anielak,Southwest Missouri State University
new york city,New York,New York Knicks,Calvin Ramsey,NYU
new york city,New York,New York Knicks,Kurt Thomas,Texas Christian University
orlando,Florida,Orlando Magic,Mark Price,Georgia Tech
phoenix,Arizona,Phoenix Suns,Miles Julian Simon,University of Arizona
phoenix,Arizona,Phoenix Suns,Kevin Wayne Durant,University of Texas at Austin
portland,Oregon,Portland Trail Blazers,Dan Anderson,
salt lake city,Utah,Utah Jazz,Eric Johnson Jones,
san antonio,Texas,San Antonio Spurs,Tim Duncan,Wake Forest University
san antonio,Texas,San Antonio Spurs,Victor Wembanyama,
san antonio,Texas,San Antonio Spurs,Zach Collins,Gonzaga Bulldogs
san francisco,California,Golden State Warriors,Darnell Hillman,San Jose State University
san francisco,California,Golden State Warriors,Steve Kerr,University of Arizona
san francisco,California,Golden State Warriors,Kermit Washington,American University
san francisco,California,Golden State Warriors,Trayce Jackson-Davis,Indiana Hoosiers
san francisco,California,Golden State Warriors,"Chavano Rainer ""Buddy"" Hield",Oklahoma Sooners
toronto,Ontario,Toronto Raptors,Nathaniel Thomas Huffman,Central Michigan University
