area,city_name,gdp
400.739,Denver,
125.0,Boston,
953.0,Indianapolis,
999.3,Dallas,
1205.4,San Antonio,
1210.0,Los Angeles,
152.8,Minneapolis,
,Miami,344.9
24.0,Inglewood,
375.78,Portland,
121.0,San Francisco,252200
,Philadelphia,518.5
,New Orleans,
,Chicago,689000
,Orlando,
286.0,Salt Lake City,
630.2,Toronto,
1341.0,Phoenix,362000
177.0,"Washington, D.C.",
213.6,Cleveland,
1651.0,Houston,
259.0,Sacramento,
370.03,Detroit,
,Memphis,
808.1,Charlotte,
778.2,New York City,
1606.7,Oklahoma City,
250.71,Milwaukee,102000000000
347.1,Atlanta,473000
