name,team,NBA_championships,file
 Steve Kerr, Golden State Warriors, 9,Steve_Kerr.txt
Vernon Maxwell,Houston Rockets,2,Vernon_Maxwell.txt
Steve Smith," Miami Heat, Portland Trail Blazers, San Antonio Spurs, Atlanta Hawks, USA men's national basketball team",1,Steve_Smith.txt
Isiah Lord Thomas III,Detroit Pistons,2,Isiah_Thomas.txt
Michael Carter-Williams,Houston Rockets,NAN,Michael_Carter-Williams.txt
Phil Jackson," Chicago Bulls, New York Knicks",11,Phil_Jackson.txt
William Severlyn Hewitt,Los Angeles Lakers,NAN,Bill_Hewitt.txt
Timothy Theodore Duncan,San Antonio Spurs,5,Tim_Duncan.txt
Anthony Marshon Davis Jr.,Los Angeles Lakers,NAN,Anthony_Davis.txt
John Lucas II,Houston Rockets,NAN,John_Lucas_II.txt
Trent Tucker," New York Knicks, San Antonio Spurs, Chicago Bulls",1,Trent_Tucker.txt
"Earvin ""Magic"" Johnson Jr.",Los Angeles Lakers,5,Magic_Johnson.txt
Derrick Joseph Chievous,Houston Rockets,NAN,Derrick_Chievous.txt
Kermit Alan Washington,Los Angeles Lakers,NAN,Kermit_Washington.txt
