nba_team,name,own_year
Chicago Bulls,Jerry Reinsdorf,1985.0
Denver Nuggets,Stan Kroenke,2000.0
New Orleans Pelicans,Gayle Benson,2018.0
Dallas Mavericks,Mark Cuban,2000.0
Oklahoma City Thunder,Clay Bennett,2006.0
"New York Knicks, New York Rangers",James L. Dolan,1999.0
Houston Rockets,Tilman Fertitta,2017.0
Golden State Warriors,Joe Lacob,2010.0
Los Angeles Clippers,Steve Ballmer,2014.0
cavaliers,daniel_gilbert,2005.0
Detroit Pistons,Tom Gores,2011.0
Philadelphia 76ers,Joshua Jordan Harris,2011.0
Miami Heat,Micky Arison,1995.0
Indiana Pacers,Herbert Simon,1983.0
Orlando Magic,Dan DeVos,1991.0
Brooklyn Nets,Joseph Tsai,2019.0
