position,nationality,age
shooting guard,American,23.0
G/F,American,26.0
Power Forward,Greek and Nigerian,30.0
forward,American,78.0
Guard/Forward,American,23.0
Basketball Player,American,54.0
Forward/Guard,American,29.0
Point Guard,American,38.0
guard,Bahamian,26.0
small forward,American,29.0
Guard,American,20.0
forward,Mexican-American,22.0
Point Guard,American,62.0
Center,American,51.0
Not specified,,42.0
point guard,American,64.0
defenceman,Canadian,40.0
Guard/Forward,American,49.0
center,American,43.0
shooting guard,American,41.0
Point Guard,American,29.0
Point Guard,American,35.0
,American,82.0
C,American,28.0
forward,Azerbaijani,26.0
center,American,88.0
point guard,American,35.0
Point Guard / Shooting Guard,American,24.0
shooting guard,American,27.0
Point Guard,American,65.0
,American,23.0
"point guard, shooting guard, small forward",United States and Greece,34.0
Player,American,50.0
Shooting Guard,American,58.0
power forward,American,33.0
player,American,72.0
,unknown,74.0
Forward,American,57.0
center,American,31.0
forward,American,26.0
forward,American,51.0
power forward,American,48.0
center,Dominican,38.0
forward,American,33.0
Point Guard,American,57.0
,American,57.0
forward,American,49.0
Guard,American,48.0
guard,American,71.0
player,American,86.0
center,American,59.0
Guard,American,58.0
Forward,American,35.0
guard,American,34.0
Guard,American,73.0
Guard/Forward,American,52.0
Guard,American,26.0
point guard,American,59.0
Forward/Guard,American,27.0
forward,American,32.0
forward,American,42.0
point guard,American,27.0
,,64.0
,American,64.0
forward,American,72.0
center,French,19.0
Basketball player,French,29.0
,American,64.0
,,73.0
forward,American,22.0
,,50.0
PG,German,31.0
Point Guard,American,32.0
player,American,39.0
Center,Croatian,56.0
small forward,Congolese,21.0
shooting guard,American,54.0
Shooting Guard,American,43.0
forward/guard,Canadian,29.0
Guard,American,22.0
Point Guard,American,27.0
power forward,American,37.0
power forward,Slovenian,39.0
shooting guard,American,27.0
power forward and center,American,20.0
power forward,American,33.0
Guard/Forward,American,34.0
power forward,American,36.0
Guard,American,35.0
center,American,28.0
center,American,27.0
Power Forward,American,34.0
forward,American,27.0
point guard,American,40.0
Guard,American,69.0
shooting guard,American,33.0
Forward/Center,American,64.0
Point Guard,American-Chinese,31.0
power forward,American,23.0
Center,American,34.0
point guard,American,29.0
shooting guard,American-Venezuelan,52.0
point guard,American,38.0
Point Guard,American,32.0
SF,Greek,33.0
PG,American,33.0
Power Forward,American,27.0
forward/center,American,58.0
Forward,American,20.0
Guard/Forward,American,59.0
Point Guard,American,28.0
Point Guard,American,28.0
center,Dutch,57.0
Guard,British,27.0
center,Cameroonian-American,29.0
