founded_year,team_name,name,team
1937.0,Detroit Pistons,Jaden Ivey,Detroit Pistons
1946.0,76ers,Fred Boyd,76ers
1970.0,Portland Trail Blazers,Kermit Washington,Portland Trail Blazers
1966.0,Chicago Bulls,Kurt Thomas,Chicago Bulls
1946.0,Boston Celtics,Jayson Tatum,Boston Celtics
1946.0,Knicks,,Knicks
1967.0,Houston Rockets,Vernon Maxwell,Houston Rockets
1945.0,Sacramento Kings,Derek Grimm,Sacramento Kings
1968.0,Phoenix Suns,Miles Julian Simon,Phoenix Suns
1946.0,Golden State Warriors,Draymond Green,Golden State Warriors
1988.0,Miami Heat,Jimmy Butler,Miami Heat
1995.0,Memphis Grizzlies,Lamar Stevens,Memphis Grizzlies
1967.0,Houston Rockets,Derrick Chievous,Houston Rockets
1967.0,San Antonio Spurs,Tim Duncan,San Antonio Spurs
1988.0,Miami Heat,Jaime Jaquez Jr.,Miami Heat
1988.0,Miami Heat,Tyler Herro,Miami Heat
1937.0,Detroit Pistons,Isiah Thomas,Detroit Pistons
1946.0,Boston Celtics,Jrue Holiday,Boston Celtics
1966.0,Chicago Bulls,Lonzo Ball,Chicago Bulls
1988.0,Miami Heat,Bam Adebayo,Miami Heat
1946.0,Golden State Warriors,Trayce Jackson-Davis,Golden State Warriors
1946.0,Los Angeles Lakers,Earvin Magic Johnson,Los Angeles Lakers
1970.0,Portland Trail Blazers,Daniel Edward Anderson,Portland Trail Blazers
1967.0,San Antonio Spurs,Harrison Barnes,San Antonio Spurs
1937.0,Detroit Pistons,Cade Cunningham,Detroit Pistons
1966.0,Chicago Bulls,Zach LaVine,Chicago Bulls
1967.0,San Antonio Spurs,William Bedford,San Antonio Spurs
1946.0,Golden State Warriors,Buddy Hield,Golden State Warriors
1966.0,Chicago Bulls,,Chicago Bulls
1989.0,Orlando Magic,Michael Carter-Williams,Orlando Magic
1970.0,Portland Trail Blazers,Jabari Walker,Portland Trail Blazers
1946.0,Golden State Warriors,Stephen Curry,Golden State Warriors
1946.0,Golden State Warriors,Andrew Christian Wiggins,Golden State Warriors
1988.0,Miami Heat,Duncan McBryde Robinson,Miami Heat
1966.0,Chicago Bulls,Trent Tucker,Chicago Bulls
1989.0,Minnesota Timberwolves,Askia Jones,Minnesota Timberwolves
1980.0,Dallas Mavericks,Kyrie Irving,Dallas Mavericks
1989.0,Minnesota Timberwolves,Anthony Edwards,Minnesota Timberwolves
1946.0,Golden State Warriors,Kyle Anderson,Golden State Warriors
1967.0,San Antonio Spurs,Chris Paul,San Antonio Spurs
1988.0,Miami Heat,Kevin Love,Miami Heat
1974.0,Utah Jazz,Eric Johnson Jones,Utah Jazz
1967.0,Brooklyn Nets,Ada Lovelace,Brooklyn Nets
1968.0,Milwaukee Bucks,Giannis Antetokounmpo,Milwaukee Bucks
1946.0,Los Angeles Lakers,Jay Vincent,Los Angeles Lakers
1967.0,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs
1967.0,Brooklyn Nets,Kevin Wayne Durant,Brooklyn Nets
1937.0,Detroit Pistons,Ausar Thompson,Detroit Pistons
1946.0,Boston Celtics,Kimball,Boston Celtics
1968.0,Milwaukee Bucks,Anthony Avent,Milwaukee Bucks
1946.0,Los Angeles Lakers,Anthony Marshon Davis Jr.,Los Angeles Lakers
1946.0,Los Angeles Lakers,Kobe Bryant,Los Angeles Lakers
1937.0,Detroit Pistons,Jarrett Jack,Detroit Pistons
1995.0,Memphis Grizzlies,Brandan Wright,Memphis Grizzlies
1946.0,Golden State Warriors,Jonathan Kuminga,Golden State Warriors
1946.0,Los Angeles Lakers,Austin Reaves,Los Angeles Lakers
1946.0,Boston Celtics,Al Horford,Boston Celtics
1946.0,Los Angeles Lakers,D'Angelo Russell,Los Angeles Lakers
1946.0,Boston Celtics,Jaylen Brown,Boston Celtics
1967.0,San Antonio Spurs,Zach Collins,San Antonio Spurs
1968.0,Phoenix Suns,Devin Booker,Phoenix Suns
1946.0,Golden State Warriors,Kevon Looney,Golden State Warriors
1946.0,Golden State Warriors,Stephen Douglas Kerr,Golden State Warriors
1946.0,Los Angeles Lakers,Greg Foster,Los Angeles Lakers
1980.0,Dallas Mavericks,Erick Strickland,Dallas Mavericks
1967.0,Brooklyn Nets,Dennis Schröder,Brooklyn Nets
1946.0,Los Angeles Lakers,LeBron James,Los Angeles Lakers
1946.0,Boston Celtics,Joseph Forte,Boston Celtics
1988.0,Miami Heat,Shaquille Rashaun O'Neal,Miami Heat
