position,nationality,age
point guard,Serbian,29
,American,-1
Point guard,American,34
Forward,Azerbaijan,25
,American,49
center,American,43
power forward/center,American,-1
forward,American,48
power forward,American,31
shooting guard,American-Venezuelan,41
Shooting Guard,American,33
,American,34
player,American,-1
,American,-1
,,68
,American,54
power forward,American,33
Point Guard,American,39
Center,American,34
,American,85
Point Guard,American,44
,,-1
Point Guard,American,62
,American,22
center,,28
Shooting guard,American,53
center,American,-1
,American,48
Point Guard,American,65
shooting guard,American,58
power forward,,37
power forward,American,58
forward,American,47
,American,49
forward,American,-1
forward,American,-1
small forward,American,-1
center,Dutch,56
Shooting guard,American,22
center,American,88
,American,-1
forward,,71
defenceman,Canadian,-1
Point Guard,Greek-American,35
guard,,-1
power forward-center,American,49
small forward,American,35
power forward/center,American,42
,American,-1
,American,73
basketball player,American,-1
,American,42
,,-1
,American,-1
,American,27
,American,34
,American,25
power forward,,36
,,-1
forward,American,30
center,Croatian,56
small forward,Greek,33
,American,20
Forward,American,26
point guard,American,28
Shooting Guard,American,39
Guard,American,34
forward,American,-1
,,85
center,,29
,American,32
,American,-1
,American,-1
Point Guard,American,32
point guard,German,31
,,78
forward,American,-1
,American,60
power forward,American,24
Center,American,31
,Bahamian,31
Point Guard,American,27
Center,,29
Small Forward,American,35
Point Guard,American (dual American and Australian citizenship),32
Small forward,American,26
small forward,American,28
forward,Canadian,29
,American,23
Guard/Forward,British,26
small forward/shooting guard,American,28
Center,French,19
Guard,American,34
Guard-Forward,American,25
Power Forward,American,35
Forward,Greek and Nigerian,30
Center,Dominican,38
shooting guard,American,23
Shooting Guard,American,29
Point Guard,American-Chinese,31
Point Guard,American,22
Small Forward,American,34
,,-1
point guard,American,28
,American,21
Point Guard,American,37
Shooting Guard/Small Forward,American,41
shooting guard,American,27
Power Forward,American,34
center,American,26
small forward,Congolese,21
Point Guard,American,26
forward,Mexican-American,22
,American,20
Point Guard,American,27
Point Guard,American,39
Forward,American,31
Power Forward,American,27
