name,draft_pick,college,team_name
andre jamal drummond,9.0,University of Connecticut,Philadelphia 76ers
andrew christian wiggins,1.0,Kansas Jayhawks,Golden State Warriors
anthony edwards,1.0,Georgia,Minnesota Timberwolves
anthony marshon davis,1.0,Kentucky,Los Angeles Lakers
austin tyler reaves,0.0,"Wichita State Shockers, Oklahoma Sooners",Los Angeles Lakers
brandan keith wright,8.0,University of North Carolina at Chapel Hill,Houston Rockets
caleb martin,0.0,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers
"chavano rainer ""buddy"" hield",6.0,Oklahoma Sooners,Golden State Warriors
christopher emmanuel paul,4.0,Wake Forest University,San Antonio Spurs
d'angelo russell,2.0,Ohio State,Los Angeles Lakers
derrick chievous,16.0,University of Missouri,Cleveland Cavaliers
devin armani booker,13.0,Kentucky Wildcats,Phoenix Suns
draymond jamal green,35.0,Michigan State University,Golden State Warriors
drew edward gordon,0.0,UCLA,Philadelphia 76ers
duncan mcbryde robinson,0.0,"Williams College, University of Michigan",Miami Heat
"edrice femi ""bam"" adebayo",14.0,University of Kentucky,Miami Heat
garfield smith,10.0,,Boston Celtics
giannis sina ugo antetokounmpo,15.0,,Milwaukee Bucks
greg fillmore gregory paul fillmore,8.0,Cheyney University of Pennsylvania,New York Knicks
harrison bryce jordan barnes,7.0,North Carolina Tar Heels,San Antonio Spurs
jabari dominic walker,57.0,Colorado,Portland Trail Blazers
jaime jaquez,18.0,UCLA,Miami Heat
jalen marquis brunson,33.0,Villanova University,New York Knicks
jay vincent jay fletcher vincent,24.0,Michigan State Spartans,Los Angeles Lakers
jaylen marselles brown,3.0,"University of California, Berkeley",Boston Celtics
jayson christopher tatum,3.0,Duke University,Boston Celtics
jimmy butler,30.0,Marquette University,Miami Heat
joel hans embiid,3.0,University of Kansas,Philadelphia 76ers
john harding lucas,1.0,University of Maryland,Houston Rockets
jonathan malangu kuminga,7.0,,Golden State Warriors
jrue randall holiday,17.0,UCLA,Boston Celtics
"kenneth ""apple"" green",11.0,Pan American University,New York Knicks
kermit washington,5.0,American University,Golden State Warriors
kevin wesley love,5.0,UCLA,Miami Heat
kevon grant looney,30.0,UCLA,Golden State Warriors
kobe bean bryant,13.0,,Los Angeles Lakers
kyle forman anderson,30.0,UCLA,Golden State Warriors
kyle terrell lowry,24.0,Villanova Wildcats,Philadelphia 76ers
kyrie andrew irving,1.0,Duke University,Dallas Mavericks
lebron raymone james,1.0,,Los Angeles Lakers
lonzo anderson ball,2.0,UCLA,Chicago Bulls
magic johnson,1.0,Michigan State,Los Angeles Lakers
mark price,25.0,Georgia Tech,Orlando Magic
"ogugua ""og"" anunoby",23.0,Indiana University,New York Knicks
paul clifton anthony george,10.0,Fresno State,Philadelphia 76ers
rik smits,2.0,Marist College,Indiana Pacers
shaquille rashaun o'neal,1.0,Louisiana State University (LSU),Boston Celtics
trayce jackson-davis,57.0,Indiana Hoosiers,Golden State Warriors
tyler christopher herro,13.0,University of Kentucky,Miami Heat
vernon maxwell,2.0,University of Florida,Dallas Mavericks
victor wembanyama,1.0,,San Antonio Spurs
wardell stephen curry,7.0,Davidson,Golden State Warriors
zach collins,10.0,Gonzaga Bulldogs,San Antonio Spurs
zachary thomas lavine,13.0,UCLA,Chicago Bulls
