name,draft_pick,college,team_name,id,player.id,team.id
andre jamal drummond,9,University of Connecticut,Philadelphia 76ers,,,
andrew christian wiggins,1,University of Kansas,Golden State Warriors,,,
anthony edwards,1,Georgia Bulldogs,Minnesota Timberwolves,,,
anthony marshon davis,1,University of Kentucky,Los Angeles Lakers,,,
austin tyler reaves,17,"Wichita State Shockers , Oklahoma Sooners",Los Angeles Lakers,,,
brandan keith wright,8,University of North Carolina at Chapel Hill,Golden State Warriors,,,
caleb martin,17,"NC State Wolfpack, Nevada Wolf Pack",Philadelphia 76ers,,,
"chavano rainer ""buddy"" hield",6,Oklahoma Sooners,Golden State Warriors,,,
christopher emmanuel paul,4,Wake Forest University,San Antonio Spurs,,,
d'angelo russell,2,Ohio State Buckeyes,Los Angeles Lakers,,,
derrick chievous,16,University of Missouri,Houston Rockets,,,
devin armani booker,13,University of Kentucky,Phoenix Suns,,,
draymond jamal green,35,Michigan State University,Golden State Warriors,,,
drew edward gordon,17,UCLA Bruins,Philadelphia 76ers,,,
duncan mcbryde robinson,17,"Williams College Ephs, Michigan Wolverines",Miami Heat,,,
"edrice femi ""bam"" adebayo",14,University of Kentucky,Miami Heat,,,
garfield smith,10,,Boston Celtics,,,
giannis sina ugo antetokounmpo,15,Filathlitikos,Milwaukee Bucks,,,
greg fillmore gregory paul fillmore,8th round,,New York Knicks,,,
harrison bryce jordan barnes,7,University of North Carolina at Chapel Hill,San Antonio Spurs,,,
jabari dominic walker,57,Colorado Buffaloes,Portland Trail Blazers,,,
jaime jaquez,18,UCLA Bruins,Miami Heat,,,
jalen marquis brunson,33,Villanova University,New York Knicks,,,
jay vincent jay fletcher vincent,24,Michigan State University,Dallas Mavericks,,,
jaylen marselles brown,3,"University of California, Berkeley",Boston Celtics,,,
jayson christopher tatum,3,Duke Blue Devils,Boston Celtics,,,
jimmy butler,30,Tyler Junior College,Miami Heat,,,
joel hans embiid,3,University of Kansas,Philadelphia 76ers,,,
john harding lucas,1,University of Maryland,Houston Rockets,,,
jonathan malangu kuminga,7,,Golden State Warriors,,,
jrue randall holiday,17,UCLA,Boston Celtics,,,
"kenneth ""apple"" green",11,,New York Knicks,,,
kermit washington,5,American University,Los Angeles Lakers,,,
kevin wesley love,5,UCLA Bruins,Miami Heat,,,
kevon grant looney,30,UCLA Bruins,Golden State Warriors,,,
kobe bean bryant,13,Lower Merion High School,Los Angeles Lakers,,,
kyle forman anderson,30,UCLA Bruins,Golden State Warriors,,,
kyle terrell lowry,24,Villanova Wildcats,Philadelphia 76ers,,,
kyrie andrew irving,1,Duke Blue Devils,Dallas Mavericks,,,
lebron raymone james,1,,Los Angeles Lakers,,,
lonzo anderson ball,2,UCLA Bruins,Chicago Bulls,,,
magic johnson,1,Michigan State,Los Angeles Lakers,,,
mark price,25,Georgia Tech,Cleveland Cavaliers,,,
"ogugua ""og"" anunoby",23,Indiana University,New York Knicks,,,
paul clifton anthony george,10,Fresno State Bulldogs,Philadelphia 76ers,,,
rik smits,2,Marist College,Indiana Pacers,,,
shaquille rashaun o'neal,1,LSU,Sacramento Kings,,,
trayce jackson-davis,57,Indiana,Golden State Warriors,,,
tyler christopher herro,13,University of Kentucky,Miami Heat,,,
vernon maxwell,17,University of Florida,Houston Rockets,,,
victor wembanyama,1,,San Antonio Spurs,,,
wardell stephen curry,7,Davidson,Golden State Warriors,,,
zach collins,10,Gonzaga Bulldogs,San Antonio Spurs,,,
zachary thomas lavine,13,UCLA Bruins,Chicago Bulls,,,
