area,city_name,gdp,city.id,id
134.0,atlanta,47300000000,,
48.4,boston,-1,,
310.02,charlotte,-1,,
-1.0,chicago,689000000000,,
82.47,cleveland,138300,,
385.8,dallas,-1,,
99.025,denver,-1,,
138.75,detroit,-1,,
637.4,houston,-1,,
367.9,indianapolis,-1,,
9.1,inglewood,-1,,
469.0,los angeles,-1,,
324.0,memphis,-1,,
-1.0,miami,34490000000,,
96.12,milwaukee,102000000000,,
59.0,minneapolis,-1,,
169.0,new orleans,-1,,
302.643,new york city,1776,,
620.34,oklahoma city,-1,,
-1.0,orlando,-1,,
134.18,philadelphia,-1,,
-1.0,phoenix,-1,,
145.09,portland,-1,,
-1.0,sacramento,-1,,
110.4,salt lake city,-1,,
754.93,san antonio,-1,,
46.9,san francisco,312000,,
630.2,toronto,-1,,
