name,team_name,city_name,state_name
aaron williams,Los Angeles Clippers,Los Angeles,California
andrew christian wiggins,Golden State Warriors,San Francisco,California
anthony edwards,Minnesota Timberwolves,Minneapolis,Minnesota
christopher emmanuel paul,San Antonio Spurs,San Antonio,Texas
darnell hillman,Golden State Warriors,San Francisco,California
devin armani booker,Phoenix Suns,Phoenix,Arizona
draymond jamal green,Golden State Warriors,San Francisco,California
duncan mcbryde robinson,Miami Heat,Miami,Florida
"edrice femi ""bam"" adebayo",Miami Heat,Miami,Florida
giannis sina ugo antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin
greg fillmore gregory paul fillmore,New York Knicks,New York City,New York
harrison bryce jordan barnes,San Antonio Spurs,San Antonio,Texas
"harry junior ""the horse"" gallatin",Detroit Pistons,Detroit,Michigan
jabari dominic walker,Portland Trail Blazers,Portland,Oregon
jaime jaquez,Miami Heat,Miami,Florida
jalen marquis brunson,New York Knicks,New York City,New York
jarrett jack,Detroit Pistons,Detroit,Michigan
jaylen marselles brown,Boston Celtics,Boston,Massachusetts
jayson christopher tatum,Boston Celtics,Boston,Massachusetts
jimmy butler,Miami Heat,Miami,Florida
jonathan malangu kuminga,Golden State Warriors,San Francisco,California
jrue randall holiday,Boston Celtics,Boston,Massachusetts
"kenneth ""apple"" green",New York Knicks,New York City,New York
kevin wayne durant,Phoenix Suns,Phoenix,Arizona
kevin wesley love,Miami Heat,Miami,Florida
kevon grant looney,Golden State Warriors,San Francisco,California
kurt thomas,New York Knicks,New York City,New York
kyle forman anderson,Golden State Warriors,San Francisco,California
kyrie andrew irving,Dallas Mavericks,Dallas,Texas
lamar brandon stevens,Memphis Grizzlies,Memphis,Tennessee
lonzo anderson ball,Chicago Bulls,Chicago,Illinois
mark price,Orlando Magic,Orlando,Florida
"ogugua ""og"" anunoby",New York Knicks,New York City,New York
rik smits,Indiana Pacers,Indianapolis,Indiana
rodney strickland,Houston Rockets,Houston,Texas
shaquille rashaun o'neal,Boston Celtics,Boston,Massachusetts
trayce jackson-davis,Golden State Warriors,San Francisco,California
trent tucker,Chicago Bulls,Chicago,Illinois
tyler christopher herro,Miami Heat,Miami,Florida
vernon maxwell,Dallas Mavericks,Dallas,Texas
victor wembanyama,San Antonio Spurs,San Antonio,Texas
wardell stephen curry,Golden State Warriors,San Francisco,California
zach collins,San Antonio Spurs,San Antonio,Texas
zachary thomas lavine,Chicago Bulls,Chicago,Illinois
