name,position,team_name,founded_year
Buddy Hield Chavano Rainer,Backcourt,Golden State Warriors,1946
D'Angelo Russell,Backcourt,Los Angeles Lakers,1947
Joel Hans Embiid,Center,Philadelphia 76ers,1946
Kyrie Andrew Irving,,Dallas Mavericks,1980
Jayson Tatum,Forward,Boston Celtics,1946
Caleb Martin,Small forward,Miami Heat,1988
Andrew Christian Wiggins,Backcourt,Golden State Warriors,1946
Jaylen Marselles Brown,Backcourt,Boston Celtics,1946
Jrue Holiday,Backcourt,Boston Celtics,1946
Austin Tyler Reaves,,Los Angeles Lakers,1947
Kevin Wesley Love,Frontcourt,Miami Heat,1988
Giannis Antetokounmpo,Power Forward,Milwaukee Bucks,1968
Wardell Stephen Curry II,Point Guard,Golden State Warriors,1946
Al Horford,Backcourt,Boston Celtics,1946
Duncan McBryde Robinson,Backcourt,Miami Heat,1988
Anthony Marshon Davis Jr.,power forward,Los Angeles Lakers,1947
Kyle Anderson,Forward,Memphis Grizzlies,1995
LeBron Raymone James Sr.,small forward and power forward,Los Angeles Lakers,1947
Jimmy Butler,Backcourt,Miami Heat,1988
Kevon Looney,Power Forward,Golden State Warriors,1946
Zach LaVine,Backcourt,Chicago Bulls,1966
Michael Jordan Michael Jeffrey Jordan,Point guard,Charlotte Hornets,1988
Devin Armani Booker,Backcourt,Phoenix Suns,1968
Brandan Keith Wright,Backcourt,Golden State Warriors,1946
Draymond Jamal Green,Frontcourt,Golden State Warriors,1946
Zach Collins,Frontcourt,San Antonio Spurs,1967
Lonzo Ball,Backcourt,Chicago Bulls,1966
Jalen Marquis Brunson,Backcourt,New York Knicks,1946
Kobe Bean Bryant,Backcourt,Los Angeles Lakers,1947
Christopher Emmanuel Paul,Point Guard,San Antonio Spurs,1967
Harrison Bryce Jordan Barnes,,San Antonio Spurs,1967
Bam Edrice Femi Adebayo,Frontcourt,Miami Heat,1988
"Kenneth ""Apple"" Green",,New York Knicks,1946
Dwayne Schintzius,Backcourt,San Antonio Spurs,1967
Timothy Theodore Duncan,power forward,San Antonio Spurs,1967
Rik Smits,Center,Indiana Pacers,1967
Darnell Hillman,Forward,Indiana Pacers,1967
Kurt Vincent Thomas,Power forward-center,Chicago Bulls,1966
Kevin Wayne Durant,Small Forward,Phoenix Suns,1968
William Bedford,Center,Phoenix Suns,1968
"Dewayne ""D. J."" White, Jr.",Frontcourt,Cleveland Cavaliers,1970
Dino Rađa,Forward,Boston Celtics,1946
Kermit Washington,Frontcourt,Los Angeles Lakers,1947
Michael Carter-Williams,,Philadelphia 76ers,1946
Dennis Schröder,Backcourt,Brooklyn Nets,1967
Andre Drummond,Center,Philadelphia 76ers,1946
