name,nationality,age,team_name,location
Buddy Hield Chavano Rainer,Bahamian,32.0,Golden State Warriors,San Francisco
D'Angelo Russell,American,27.0,Los Angeles Lakers,Downtown Los Angeles
Joel Hans Embiid,Cameroonian-American,31.0,Philadelphia 76ers,"Camden, New Jersey"
Paul Clifton Anthony George,American,25.0,Philadelphia 76ers,"Camden, New Jersey"
Kyrie Andrew Irving,American,32.0,Dallas Mavericks,Dallas
Jayson Tatum,American,28.0,Boston Celtics,Boston
Caleb Martin,American,28.0,Miami Heat,Miami
Andrew Christian Wiggins,Canadian,28.0,Golden State Warriors,San Francisco
Max Fiedler,American,24.0,Philadelphia 76ers,"Camden, New Jersey"
OG Anunoby Ogugua,British,25.0,New York Knicks,Manhattan
Jaylen Marselles Brown,American,27.0,Boston Celtics,Boston
Victor Wembanyama,French,21.0,San Antonio Spurs,San Antonio
Jrue Holiday,American,34.0,Boston Celtics,Boston
Austin Tyler Reaves,American,26.0,Los Angeles Lakers,Downtown Los Angeles
Kevin Wesley Love,American,36.0,Miami Heat,Miami
Giannis Antetokounmpo,Greek and Nigerian,30.0,Milwaukee Bucks,Milwaukee
Wardell Stephen Curry II,American,37.0,Golden State Warriors,San Francisco
Al Horford,Dominican-American,37.0,Boston Celtics,Boston
Tyler Herro,American,23.0,Miami Heat,Miami
Duncan McBryde Robinson,American,31.0,Miami Heat,Miami
Anthony Marshon Davis Jr.,American,32.0,Los Angeles Lakers,Downtown Los Angeles
Kyle Anderson,American,32.0,Memphis Grizzlies,Memphis
Cade Cunningham Cade Parker Cunningham,American,23.0,Detroit Pistons,Downtown Detroit
LeBron Raymone James Sr.,American,40.0,Los Angeles Lakers,Downtown Los Angeles
Jimmy Butler,American,35.0,Miami Heat,Miami
Kevon Looney,American,27.0,Golden State Warriors,San Francisco
Zach LaVine,American,28.0,Chicago Bulls,Chicago
Jaden Edward Dhananjay Ivey,American,21.0,Detroit Pistons,Downtown Detroit
Kyle Lowry,American,,Philadelphia 76ers,"Camden, New Jersey"
Michael Jordan Michael Jeffrey Jordan,American,62.0,Charlotte Hornets,Charlotte
Devin Armani Booker,American,27.0,Phoenix Suns,Phoenix
Brandan Keith Wright,American,38.0,Golden State Warriors,San Francisco
Draymond Jamal Green,American,35.0,Golden State Warriors,San Francisco
Zach Collins,American,27.0,San Antonio Spurs,San Antonio
Jonathan Kuminga,Congolese,21.0,Golden State Warriors,San Francisco
Lonzo Ball,American,27.0,Chicago Bulls,Chicago
Jaime Jaquez Jr.,Mexican-American,24.0,Miami Heat,Miami
Ausar Thompson,American,22.0,Detroit Pistons,Downtown Detroit
Jalen Marquis Brunson,American,28.0,New York Knicks,Manhattan
Shaquille Rashaun O'Neal,American,,Orlando Magic,Orlando
Kobe Bean Bryant,American-born naturalized Azerbaijani,46.0,Los Angeles Lakers,Downtown Los Angeles
Christopher Emmanuel Paul,American,38.0,San Antonio Spurs,San Antonio
Harrison Bryce Jordan Barnes,American,32.0,San Antonio Spurs,San Antonio
Bam Edrice Femi Adebayo,American,27.35,Miami Heat,Miami
"Kenneth ""Apple"" Green",American,65.0,New York Knicks,Manhattan
Jay Fletcher Vincent,American,,Dallas Mavericks,Dallas
Anthony Avent,American,,Milwaukee Bucks,Milwaukee
Drew Edward Gordon,American,,Philadelphia 76ers,"Camden, New Jersey"
Kelvin Trent Tucker,American,,New York Knicks,Manhattan
Dwayne Schintzius,American,46.0,San Antonio Spurs,San Antonio
Timothy Theodore Duncan,American-born naturalized American-Virgin Islander,48.375,San Antonio Spurs,San Antonio
Rik Smits,Dutch,58.0,Indiana Pacers,Indianapolis
Anthony Edwards,American,23.0,Minnesota Timberwolves,Minneapolis
,,,New York Knicks,Manhattan
Darnell Hillman,,73.98630136986301,Indiana Pacers,Indianapolis
Mark Price William Mark Price,American,,Cleveland Cavaliers,suburban Independence
Kurt Vincent Thomas,American,52.0,Chicago Bulls,Chicago
Kevin Wayne Durant,American,36.0,Phoenix Suns,Phoenix
Aaron Williams,American,,Utah Jazz,Salt Lake City
William Bedford,American,61.0,Phoenix Suns,Phoenix
,,,Portland Trail Blazers,Portland
Lamar Brandon Stevens,American,25.0,Cleveland Cavaliers,suburban Independence
"Dewayne ""D. J."" White, Jr.",American,38.0,Cleveland Cavaliers,suburban Independence
,,,Phoenix Suns,Phoenix
William Severlyn Hewitt,American,,Los Angeles Lakers,Downtown Los Angeles
Dino Rađa,Croatian,58.0,Boston Celtics,Boston
Jabari Dominic Walker,American,23.0,Portland Trail Blazers,Portland
Erick Strickland,American,,Dallas Mavericks,Dallas
Kermit Washington,American,73.0,Los Angeles Lakers,Downtown Los Angeles
Michael Carter-Williams,American,34.0,Philadelphia 76ers,"Camden, New Jersey"
Dennis Schröder,German,32.0,Brooklyn Nets,Brooklyn
Trayce Jackson-Davis,American,25.0,Golden State Warriors,San Francisco
Andre Drummond,American,32.0,Philadelphia 76ers,"Camden, New Jersey"
