name,position,team_name,founded_year
aaron williams,Frontcourt,Los Angeles Clippers,1970
andre jamal drummond,Frontcourt,Philadelphia 76ers,1946
andrew christian wiggins,,Golden State Warriors,1946
anthony marshon davis,Frontcourt,Los Angeles Lakers,1946
austin tyler reaves,,Los Angeles Lakers,1946
caleb martin,Frontcourt,Philadelphia 76ers,1946
"chavano rainer ""buddy"" hield",,Golden State Warriors,1946
christopher emmanuel paul,Backcourt,San Antonio Spurs,1967
darnell hillman,Frontcourt,Golden State Warriors,1946
devin armani booker,Backcourt,Phoenix Suns,1968
draymond jamal green,Frontcourt,Golden State Warriors,1946
duncan mcbryde robinson,,Miami Heat,1988
"edrice femi ""bam"" adebayo",,Miami Heat,1988
giannis sina ugo antetokounmpo,Frontcourt,Milwaukee Bucks,1968
harrison bryce jordan barnes,,San Antonio Spurs,1967
jalen marquis brunson,,New York Knicks,1946
jarrett jack,,Detroit Pistons,1937
jaylen marselles brown,Backcourt,Boston Celtics,1946
jayson christopher tatum,,Boston Celtics,1946
jimmy butler,,Miami Heat,1988
joel hans embiid,,Philadelphia 76ers,1946
jrue randall holiday,,Boston Celtics,1946
kermit washington,Frontcourt,Golden State Warriors,1946
kevin wayne durant,Frontcourt,Phoenix Suns,1968
kobe bean bryant,Backcourt,Los Angeles Lakers,1946
kyle terrell lowry,Backcourt,Philadelphia 76ers,1946
kyrie andrew irving,,Dallas Mavericks,1980
lamar brandon stevens,,Memphis Grizzlies,1995
lebron raymone james,,Los Angeles Lakers,1946
lonzo anderson ball,Backcourt,Chicago Bulls,1966
magic johnson,Backcourt,Los Angeles Lakers,1946
"ogugua ""og"" anunoby",,New York Knicks,1946
shaquille rashaun o'neal,Frontcourt,Boston Celtics,1946
wardell stephen curry,Backcourt,Golden State Warriors,1946
zachary thomas lavine,,Chicago Bulls,1966
