age,nba_team,name
,Detroit Pistons,Tom Gores
88.0,Chicago Bulls,Jerry Reinsdorf
77.0,New Orleans Pelicans,Gayle Benson
,Denver Nuggets,Stan Kroenke
59.0,Washington Commanders,Joshua Jordan Harris
,New York Knicks,James Lawrence Dolan
,Golden State Warriors,Joe Lacob
68.0,Los Angeles Clippers,Steve Ballmer
65.0,Orlando Magic,Daniel G. DeVos
,Dallas Mavericks,Mark Cuban
66.0,Houston Rockets,Tilman Fertitta
,Brooklyn Nets,Joseph Tsai
,Oklahoma City Thunder,Clay Bennett
90.0,Indiana Pacers,Herbert Simon
