name,age,draft_pick,NBA_championships,file
Lavoy Allen,35,50,0,Lavoy_Allen.txt
Steve Kerr,59,second round,9,Steve_Kerr.txt
Steven Delano Smith,55,NAN,1,Steve_Smith.txt
Anthony Edwards,23,1,NAN,Anthony_Edwards.txt
Michael Carter-Williams,33,11,0,Michael_Carter-Williams.txt
Kevin Wayne Durant,36,2,2,Kevin_Durant.txt
Philip Douglas Jackson,79,NAN,2,Phil_Jackson.txt
Timothy Theodore Duncan,48,1,5,Tim_Duncan.txt
Anthony Marshon Davis Jr.,31,1,NAN,Anthony_Davis.txt
Jahlil Obika Okafor,29,3,0,Jahlil_Okafor.txt
"Earvin ""Magic"" Johnson Jr.",65,1,5,Magic_Johnson.txt
