name,college,team,draft_pick,file
Dennis Schröder,,Brooklyn Nets,17th overall pick in the 2013 NBA draft,93
Shawn Christopher Respert,Michigan State,,8,60
Lamar Brandon Stevens,Penn State Nittany Lions,Memphis Grizzlies,,63
Jaylen Brown,California Golden Bears,Boston Celtics,3,110
Phil Jackson,University of North Dakota,"New York Knicks, Chicago Bulls, Los Angeles Lakers",,21
Marvin Roberts,Utah State University,Los Angeles Lakers,3,17
Askia Rahman Jones,Kansas State University,,,14
Max Fiedler,Rice University,Philadelphia 76ers,,108
Nate Huffman,Central Michigan University,Maccabi Tel Aviv,,56
Andre Drummond,University of Connecticut,Philadelphia 76ers,9,99
