court_name,hearing_year,judgment_year,file
Administrative Appeals Tribunal,2006,2006,06_1620.txt
Federal Court,2006,2007,07_811.txt
Federal Court of Australia,2006,2006,06_1220.txt
Federal Court of Australia,2006,0,06_157.txt
Federal Magistrates Court of Australia,2006,2006,06_662.txt
Full Court,2006,2006,06_1369.txt
Federal Magistrates Court,2006,2006,06_478.txt
Federal Court of Australia,2006,2006,06_848.txt
Federal Court of Australia,2006,2006,06_1054.txt
Federal Magistrates Court,2006,2006,06_224.txt
Federal Court,2006,2006,06_135.txt
Federal Court,2006,2006,06_192.txt
Federal Court of Australia,2006,2006,06_758.txt
FCA (Federal Court of Australia),2006,2007,07_7.txt
Federal Court of Australia,2006,2007,07_54.txt
Federal Court of Australia,2006,0,06_364.txt
Federal Court of Australia,2006,0,06_1811.txt
Federal Court of Australia,2006,0,06_515.txt
Federal Court of Australia,2006,2006,06_1290.txt
Federal Magistrate,2006,2006,06_786.txt
