name,position,team_name,founded_year,id,player.id,team.id
andre jamal drummond,Center,Detroit Pistons,1937,,,
christopher emmanuel paul,Point guard,Phoenix Suns,1968,,,
devin armani booker,Sophomore guard,Phoenix Suns,1968,,,
duncan mcbryde robinson,,Miami Heat,1988,,,
eric johnson jones,,Utah Jazz,1974,,,
isiah thomas,,Detroit Pistons,1937,,,
jalen marquis brunson,Point Guard,Dallas Mavericks,1980,,,
jamal crawford,,Phoenix Suns,1968,,,
jaylen marselles brown,,Boston Celtics,1946,,,
jayson christopher tatum,,Boston Celtics,1946,,,
jimmy butler,,Miami Heat,1988,,,
joel hans embiid,,Philadelphia 76ers,1946,,,
kermit washington,Backcourt,Los Angeles Lakers,1967,,,
kevin wesley love,,Miami Heat,1988,,,
kyle forman anderson,,Golden State Warriors,1962,,,
kyle terrell lowry,,Miami Heat,1988,,,
kyrie andrew irving,,Brooklyn Nets,1967,,,
paul clifton anthony george,Shooting Guard,Indiana Pacers,1967,,,
steve kerr,,Golden State Warriors,1962,,,
tim duncan,Power Forward,San Antonio Spurs,1967,,,
wardell stephen curry,Point guard,Golden State Warriors,1962,,,
zachary thomas lavine,Point guard,Chicago Bulls,1966,,,
