team_name,location,city_name,state_name
Houston Rockets,Houston,Houston,
Indiana Pacers,Indianapolis,Indianapolis,
Golden State Warriors,San Francisco,San Francisco,
Boston Celtics,Boston,Boston,
Orlando Magic,Orlando,Orlando,
Washington Wizards,Chicago,Chicago,
Chicago Bulls,Chicago,Chicago,
Los Angeles Clippers,Los Angeles,Los Angeles,
Miami Heat,Miami,Miami,
Oklahoma City Thunder,Oklahoma City,Oklahoma City,Oklahoma
Memphis Grizzlies,Memphis,Memphis,
Toronto Raptors,Toronto,Toronto,
Phoenix Suns,Phoenix,Phoenix,Arizona
Los Angeles Lakers,Los Angeles,Los Angeles,
Denver Nuggets,Denver,Denver,Colorado
San Antonio Spurs,San Antonio,San Antonio,
Raptors,Toronto,Toronto,
Lakers,Los Angeles,Los Angeles,
Rockets,Denver,Denver,Colorado
Celtics,Boston,Boston,
Arizona Cardinals,Phoenix,Phoenix,Arizona
Clippers,Los Angeles,Los Angeles,
Chicago Packers,Chicago,Chicago,
Blazers,Los Angeles,Los Angeles,
Cleveland Guardians,Cleveland,Cleveland,
Browns,Cleveland,Cleveland,
Cavaliers,Cleveland,Cleveland,
Phoenix,Phoenix,Phoenix,Arizona
Jazz,Salt Lake City,Salt Lake City,
Spurs,San Antonio,San Antonio,
Indianapolis City Market,Indianapolis,Indianapolis,
Toronto,Toronto,Toronto,
Cleveland Indians,Cleveland,Cleveland,
Colorado Avalanche,Denver,Denver,Colorado
