name,college,team_name,gdp
Paul George,Fresno State Bulldogs,Indiana Pacers,184400000000.0
Jayson Tatum,Duke University,Boston Celtics,
Chris Paul,Wake Forest University,Phoenix Suns,36200000000.0
Harrison Barnes,University of North Carolina,Sacramento Kings,
Vernon Maxwell,University of Florida,Houston Rockets,633000000000.0
Jalen Brunson,Villanova,Dallas Mavericks,
Jrue Holiday,UCLA,Philadelphia 76ers,US$518.5 billion
Jrue Holiday,UCLA,Philadelphia 76ers,US$518.5 billion
Jrue Holiday,UCLA,Philadelphia 76ers,US$518.5 billion
Kyrie Irving,Boston University,Brooklyn Nets,
Zach LaVine,UCLA Bruins,Chicago Bulls,13700000000.0
Kyle Forman Anderson,UCLA Bruins,Golden State Warriors,375862.0
D'Angelo Russell,Ohio State Buckeyes,Los Angeles Lakers,1000000.0
Jimmy Butler,Marquette University,Miami Heat,344900000000.0
Michael Jordan,University of North Carolina at Chapel Hill,Chicago Bulls,13700000000.0
Devin Booker,Kentucky,Phoenix Suns,36200000000.0
Draymond Jamal Green,Michigan State University,Golden State Warriors,375862.0
Stephen Curry,Davidson College,Golden State Warriors,375862.0
Trent Tucker,University of Minnesota,New York Knicks,
Kyle Lowry,Villanova,Miami Heat,344900000000.0
Joel Embiid,Kansas Jayhawks,Philadelphia 76ers,US$518.5 billion
Joel Embiid,Kansas Jayhawks,Philadelphia 76ers,US$518.5 billion
Joel Embiid,Kansas Jayhawks,Philadelphia 76ers,US$518.5 billion
Lonzo Ball,UCLA Bruins,Pelicans,
Tyler Herro,University of Kentucky,Miami Heat,344900000000.0
Kevin Love,UCLA,Miami Heat,344900000000.0
Fred Boyd,Oregon State University,Philadelphia 76ers,US$518.5 billion
Fred Boyd,Oregon State University,Philadelphia 76ers,US$518.5 billion
Fred Boyd,Oregon State University,Philadelphia 76ers,US$518.5 billion
Dennis Schröder,,Atlanta Hawks,
Dino Rađa,,Boston Celtics,
Dwayne Schintzius,University of Florida,San Antonio Spurs,12100000000.0
Derek Grimm,University of Missouri,Sacramento Kings,
Aaron Jamal Crawford,University of Michigan,Phoenix Suns,36200000000.0
OG Anunoby,Indiana University,New York Knicks,
Okafor,Duke,Philadelphia 76ers,US$518.5 billion
Okafor,Duke,Philadelphia 76ers,US$518.5 billion
Okafor,Duke,Philadelphia 76ers,US$518.5 billion
Timothy Theodore Duncan,Wake Forest Demon Deacons,San Antonio Spurs,12100000000.0
Nikola Jokić,,Denver Nuggets,157600000000.0
James,,Cavaliers,138300000000.0
LeBron James,,Cleveland Cavaliers,
Davis,,Lakers,1000000.0
Embiid,,Philadelphia 76ers,US$518.5 billion
Embiid,,Philadelphia 76ers,US$518.5 billion
Embiid,,Philadelphia 76ers,US$518.5 billion
JJ Redick,Duke,Orlando Magic,
Brandon Jennings,,Milwaukee Bucks,"{""value"": ""over $102\u00a0billion in 2020"", ""span"": ""with a regional GDP of over $102\u00a0billion in 2020""}"
Giannis Antetokounmpo,,Bucks,"{""value"": ""over $102\u00a0billion in 2020"", ""span"": ""with a regional GDP of over $102\u00a0billion in 2020""}"
Carmelo Anthony,,Denver Nuggets,157600000000.0
Jonathan Kuminga,,Golden State Warriors,375862.0
Evan Turner,Ohio State University,Philadelphia 76ers,US$518.5 billion
Evan Turner,Ohio State University,Philadelphia 76ers,US$518.5 billion
Evan Turner,Ohio State University,Philadelphia 76ers,US$518.5 billion
Antonio McDyess,,San Antonio Spurs,12100000000.0
Chris Bosh,,Toronto Raptors,400000000.0
Yao Ming,,Houston Rockets,633000000000.0
Ja Morant,,Memphis Grizzlies,
Harrison Bryce Jordan Barnes,North Carolina Tar Heels,San Antonio Spurs,12100000000.0
Dwight Howard,,Orlando Magic,
Scottie Barnes,,Raptors,400000000.0
Max Fiedler,Rice,Philadelphia 76ers,US$518.5 billion
Max Fiedler,Rice,Philadelphia 76ers,US$518.5 billion
Max Fiedler,Rice,Philadelphia 76ers,US$518.5 billion
Kyrie Andrew Irving,Duke Blue Devils,Dallas Mavericks,
Zach Collins,Gonzaga,San Antonio Spurs,12100000000.0
Jack Parr,,Cincinnati Royals,
Moses Malone,,Philadelphia 76ers,US$518.5 billion
Moses Malone,,Philadelphia 76ers,US$518.5 billion
Moses Malone,,Philadelphia 76ers,US$518.5 billion
Bowie,,Blazers,1000000.0
Jaylen Marselles Brown,California,Boston Celtics,
Lorbek,,Indiana Pacers,184400000000.0
Kuminga,,Golden State Warriors,375862.0
Jackson-Davis,,Golden State Warriors,375862.0
Derek Harper,,Mavericks,
Paul Clifton Anthony George,Fresno State,Philadelphia 76ers,US$518.5 billion
Paul Clifton Anthony George,Fresno State,Philadelphia 76ers,US$518.5 billion
Paul Clifton Anthony George,Fresno State,Philadelphia 76ers,US$518.5 billion
Rodrigue Beaubois,,Dallas Mavericks,
Maxwell,,San Antonio Spurs,12100000000.0
Pervis Ellison,,Sacramento Kings,
Lionel Simmons,,Sacramento Kings,
Dario Šarić,,Orlando Magic,
Mike D'Antoni,,Rockets,157600000000.0
