name,team_name,city_name,state_name
Paul George,Indiana Pacers,Indianapolis,
Duncan McBryde Robinson,Miami Heat,Miami,
Jayson Tatum,Boston Celtics,Boston,
Chris Paul,Phoenix Suns,Phoenix,Arizona
Vernon Maxwell,Houston Rockets,Houston,
Zach LaVine,Chicago Bulls,Chicago,
Kyle Forman Anderson,Golden State Warriors,San Francisco,
D'Angelo Russell,Los Angeles Lakers,Los Angeles,
Jimmy Butler,Miami Heat,Miami,
Michael Jordan,Chicago Bulls,Chicago,
Devin Booker,Phoenix Suns,Phoenix,Arizona
Tim Duncan,San Antonio Spurs,San Antonio,
Draymond Jamal Green,Golden State Warriors,San Francisco,
Jaylen Brown,Boston Celtics,Boston,
Stephen Curry,Golden State Warriors,San Francisco,
Kyle Lowry,Miami Heat,Miami,
Austin Tyler Reaves,Los Angeles Lakers,Los Angeles,
Jonathan Malangu Kuminga,Golden State Warriors,San Francisco,
Tyler Herro,Miami Heat,Miami,
Kevin Love,Miami Heat,Miami,
Dino Rađa,Boston Celtics,Boston,
Steve Kerr,Golden State Warriors,San Francisco,
Kermit Washington,Los Angeles Lakers,Los Angeles,
Dwayne Schintzius,San Antonio Spurs,San Antonio,
Rik Smits,Indiana Pacers,Indianapolis,
Aaron Jamal Crawford,Phoenix Suns,Phoenix,Arizona
Devontae Calvin Cacok,Los Angeles Lakers,Los Angeles,
Tatum,Celtics,Boston,
Stephen Jackson,San Antonio Spurs,San Antonio,
Duncan Robinson,Miami Heat,Miami,
Kyle Anderson,Memphis Grizzlies,Memphis,
Kawhi Leonard,Toronto Raptors,Toronto,
Timothy Theodore Duncan,San Antonio Spurs,San Antonio,
Nikola Jokić,Denver Nuggets,Denver,Colorado
Bryant,Lakers,Los Angeles,
Brown,Celtics,Boston,
James,Cavaliers,Cleveland,
Davis,Lakers,Los Angeles,
Rađa,Boston Celtics,Boston,
JJ Redick,Orlando Magic,Orlando,
Lamar Stevens,Memphis Grizzlies,Memphis,
George Gervin,San Antonio Spurs,San Antonio,
Lauri Markkanen,Jazz,Salt Lake City,
Carmelo Anthony,Denver Nuggets,Denver,Colorado
Lance Stephenson,Indiana Pacers,Indianapolis,
Rick Barry,Golden State Warriors,San Francisco,
Jamaal Wilkes,Golden State Warriors,San Francisco,
George,Indiana Pacers,Indianapolis,
Jonathan Kuminga,Golden State Warriors,San Francisco,
Schröder,Los Angeles Lakers,Los Angeles,
Antonio McDyess,San Antonio Spurs,San Antonio,
Chris Bosh,Toronto Raptors,Toronto,
Hakeem Olajuwon,Rockets,Denver,Colorado
Yao Ming,Houston Rockets,Houston,
Ja Morant,Memphis Grizzlies,Memphis,
Erik Spoelstra,Miami Heat,Miami,
Derrick Rose,Chicago Bulls,Chicago,
Tony Parker,San Antonio Spurs,San Antonio,
Harrison Bryce Jordan Barnes,San Antonio Spurs,San Antonio,
Kobe Bryant,Lakers,Los Angeles,
Whammer,Cavaliers,Cleveland,
Pascal Siakam,Indiana Pacers,Indianapolis,
Dwight Howard,Orlando Magic,Orlando,
Scottie Barnes,Raptors,Toronto,
Andrew Bynum,Lakers,Los Angeles,
Joe Johnson,Celtics,Boston,
Jameer Nelson,Orlando Magic,Orlando,
Zach Collins,San Antonio Spurs,San Antonio,
Vince Carter,Raptors,Toronto,
Connie Hawkins,Phoenix Suns,Phoenix,Arizona
Go,Phoenix Suns,Phoenix,Arizona
Phoenix Suns,Phoenix Suns,Phoenix,Arizona
Charles Barkley,Phoenix Suns,Phoenix,Arizona
Reaves,Los Angeles Lakers,Los Angeles,
Steve Nash,Phoenix Suns,Phoenix,Arizona
Norm Van Lier,Chicago Bulls,Chicago,
James Silas,Spurs,San Antonio,
Lowry,Raptors,Toronto,
Bowie,Blazers,Los Angeles,
Jaylen Marselles Brown,Boston Celtics,Boston,
Dikembe Mutombo,Denver Nuggets,Denver,Colorado
James Worthy,Lakers,Los Angeles,
Greg Oden,Celtics,Boston,
Lorbek,Indiana Pacers,Indianapolis,
Kuminga,Golden State Warriors,San Francisco,
Shaun Livingston,Golden State Warriors,San Francisco,
Barnes,Golden State Warriors,San Francisco,
Green,Cavaliers,Cleveland,
Bradley Beal,Phoenix Suns,Phoenix,Arizona
David Lee,Golden State Warriors,San Francisco,
Randy Foye,Oklahoma City Thunder,Oklahoma City,Oklahoma
