disease_name,disease_type,prognosis
Chlamydia,infectious,full_recovery||asymptomatic
Type 2 Diabetes Mellitus,metabolic||endocrine,
Pleural Effusion,inflammatory||infectious||vascular||others,
Irritable Bowel Syndrome (IBS),functional,
Diabetes type 1,autoimmune||endocrine,chronic_condition||quality_of_life_impairment
Vohwinkel syndrome,genetic,disability||quality_of_life_impairment||stable
Gout,metabolic||inflammatory,high_recurrence_risk
Lung Cancer,neoplastic,high_mortality||progressive
Multiple Myeloma,neoplastic,remission_possible
Phantom Limb Pain,traumatic,
Opioid-Induced Constipation,iatrogenic,variable
Rocky Mountain Spotted Fever||RMSF,infectious||inflammatory||vascular,high_mortality||full_recovery
Acute Graft-Versus-Host Disease,iatrogenic||inflammatory,high_mortality
Pyoderma gangrenosum,inflammatory,
Herpes Simplex Virus Infection||cold sores||genital herpes,infectious||genetic,
Asthma,autoimmune||allergic,
Legionnaires' Disease,infectious,full_recovery||low_mortality
Cystic Fibrosis,genetic,
Antibiotic-associated diarrhea,iatrogenic||infectious,
Hemophilia B,genetic,chronic_condition||quality_of_life_impairment
Attention-Deficit Hyperactivity Disorder,psychiatric,chronic_condition||quality_of_life_impairment||variable
Microcytic Anemia,genetic||congenital||nutritional||inflammatory||toxic||others,full_recovery||partial_recovery||chronic_condition||variable
Birth Control Heart Attack,vascular||iatrogenic,high_mortality||quality_of_life_impairment||variable
Urinary Tract Infection,infectious||inflammatory,
Prostate Cancer,neoplastic,high_mortality||progressive||quality_of_life_impairment
Gastroesophageal Reflux Disease||GERD,inflammatory,chronic_condition||high_recurrence_risk||quality_of_life_impairment
Thoracic Outlet Syndrome,traumatic||vascular||congenital||others,chronic_condition
Onchocerciasis,infectious||parasitic,
Depression,psychiatric,
Opioid Addiction,,
Ear Infections,infectious||inflammatory,high_recurrence_risk||full_recovery
Lyme Disease,infectious,full_recovery||chronic_condition
Opiate Dependency,psychiatric||toxic,variable
Duchenne muscular dystrophy,genetic||degenerative,high_mortality||progressive||quality_of_life_impairment
Vaccine-Induced Immune Thrombotic Thrombocytopenia (VITT),iatrogenic||vascular,high_mortality||disability
Allergic Reactions,allergic,
Poison Oak Rash,allergic||toxic,
Postpartum Depression and Anxiety,psychiatric,
Acute Appendicitis,inflammatory,
Influenza,infectious||inflammatory,
Diabetes Mellitus,metabolic||endocrine,chronic_condition||quality_of_life_impairment||life_threatening
Irritable Bowel Syndrome,idiopathic||inflammatory||psychiatric||others,chronic_condition||quality_of_life_impairment||variable
Low Back Pain,degenerative||traumatic||inflammatory||infectious||neoplastic||idiopathic||others,full_recovery||partial_recovery||chronic_condition||disability||variable
Acne,infectious||inflammatory,
Periodontal Disease,infectious||inflammatory,
Panic Disorder,psychiatric,
Trigeminal Neuralgia,idiopathic||degenerative||vascular||traumatic||infectious||neoplastic||others,chronic_condition||progressive||remission_possible||quality_of_life_impairment||variable||unknown
Irregular Heart Rhythm,vascular||iatrogenic,high_mortality
Chronic Fatigue Syndrome||myalgic encephalomyelitis,psychiatric||infectious_viral||idiopathic,chronic_condition||quality_of_life_impairment
Anxiety Disorders,psychiatric,
Fibromyalgia,neurological||metabolic||chronic,chronic_condition||quality_of_life_impairment
Idiopathic Intracranial Hypertension,idiopathic,partial_recovery||variable
Absence Seizures,,
Situational Anxiety,psychiatric,
Immune Reconstitution Syndrome (IRS),infectious||inflammatory||iatrogenic,variable||significant morbidity||occasional mortality
Heart Failure,degenerative||vascular||others,variable||chronic_condition
COVID-19,infectious,
Stomach Cancer,neoplastic,
Plaque Psoriasis,inflammatory,
Tuberculosis,infectious||inflammatory,
Parasitic Infections (Tapeworm),infectious||parasitic,
Systemic Lupus Erythematosus||SLE,autoimmune||inflammatory,chronic_condition||disability||quality_of_life_impairment||variable
Metastatic Colorectal Cancer||mCRC,neoplastic,
Acute Bacterial Prostatitis,infectious||inflammatory,
Secondary Peritonitis,inflammatory,high_mortality
Opioid Use Disorder,,
Essential Hypertension,,stable
Huntington's disease||Huntington's Chorea,genetic||degenerative||psychiatric,incurable||progressive||quality_of_life_impairment
Heart Murmur,,
Charcot Neuropathic Osteoarthropathy,metabolic||degenerative||inflammatory||traumatic||vascular||idiopathic,high_mortality||disability||progressive||quality_of_life_impairment||variable
HIV-1 Infection,infectious,
Celiac Disease,genetic||autoimmune,
Rabies,infectious||inflammatory,high_mortality||severe neurological complications
Human African Trypanosomiasis (Sleeping Sickness),infectious||parasitic,progressive||high_mortality
Diabetic Peripheral Neuropathy,metabolic||vascular,chronic_condition
Crohn's disease,inflammatory,chronic_condition||remission_possible
Osteoarthritis,,
Advanced Breast Cancer,neoplastic,
Alzheimer's Disease,degenerative,chronic_condition||progressive||quality_of_life_impairment
Cancer,neoplastic,high_mortality
Sinus Migraine,inflammatory||idiopathic||others,
Major Depressive Disorder,psychiatric,high_recurrence_risk
Peripheral Arterial Disease||Atherosclerotic Peripheral Arterial Disease||Arm Artery Disease||Circulation Problems||Leg Artery Disease,vascular||degenerative,chronic_condition||disability||quality_of_life_impairment||progressive
Cystoid Macular Edema,inflammatory,chronic_condition||remission_possible||high_recurrence_risk||quality_of_life_impairment||variable
Preeclampsia,vascular||inflammatory||idiopathic,variable||high_mortality
Acute Intermittent Porphyria,genetic||metabolic,variable||full_recovery||high_recurrence_risk||asymptomatic
Psoriatic Arthritis||PsA,autoimmune||inflammatory,chronic_condition||quality_of_life_impairment||variable
Bell's palsy,idiopathic||inflammatory||infectious_viral,full_recovery||partial_recovery||variable
Sarcopenia,degenerative||nutritional||endocrine||inflammatory,partial_recovery||chronic_condition||progressive||quality_of_life_impairment||variable
Advanced Non-Small Cell Lung Cancer||advanced non-small–cell lung cancers||NSCLC||non-small cell lung cancer||non-squamous NSCLCs||squamous NSCLCs,neoplastic||inflammatory,high_mortality||variable||progressive||quality_of_life_impairment
Peritonitis,infectious||inflammatory,
Atrial Fibrillation,vascular||degenerative,disability||high_mortality||quality_of_life_impairment
Primary Biliary Cholangitis,,
Drug Resistant Tuberculosis (DR TB),infectious,full_recovery||high_mortality
Sinus Infection,,
Premenstrual Syndrome,,
Hypertension,vascular,
Gut Microbiome Imbalance,iatrogenic||infectious||nutritional||others,full_recovery||chronic_condition
Benign Prostatic Hypertrophy (BPH),,
Leptospirosis,infectious,variable
