disease_name,disease_type,diagnostic_methods,common_symptoms,treatments,prognosis
Chlamydia,infectious,laboratory_test||screening,unusual vaginal discharge||pain or burning sensation during urination||frequent urination||bleeding between periods||bleeding after sex||grey or pale yellow discharge||pain during sex||problems with urination||abdominal pain||pain during sex||pain during urination||unusually painful or heavy periods||unusual discharge (may be green or yellow)||severe pain in the abdomen||fever||nausea||vomiting,oral_medication||injection,full_recovery||asymptomatic
Type 2 Diabetes Mellitus,metabolic||endocrine,,,oral_medication||lifestyle_modification||dietary_intervention||regular_exercise,
Pleural Effusion,inflammatory||infectious||vascular||others,,shortness of breath||chest pain,oral_medication||other,
Irritable Bowel Syndrome (IBS),functional,functional_test,abdominal pain||constipation||diarrhea||altered bowel movements,oral_medication||dietary_intervention,
Diabetes type 1,autoimmune||endocrine,laboratory_test,thirst||polyuria||weight_loss||healthy_appetite||weakness||muscle_pain||fatigue||irritability||nausea||vomiting||blurry_vision,injection||dietary_intervention||lifestyle_modification,chronic_condition||quality_of_life_impairment
Vohwinkel syndrome,genetic,clinical_evaluation,loss of fingers||loss of toes||starfish-shaped patches of thickened skin||honeycomb-like calluses on palms and soles||patches of infected skin||itching||peeling,oral_medication||surgery,disability||quality_of_life_impairment||stable
Gout,metabolic||inflammatory,clinical_evaluation,joint pain||toe pain||recurring attacks,oral_medication||lifestyle_modification||dietary_intervention,high_recurrence_risk
Lung Cancer,neoplastic,clinical_evaluation,cough||hemoptysis||shortness of breath||chest pain||hoarse voice||facial swelling||neck swelling||weight gain||moon face||weakness||bone pain||kidney stones,chemotherapy||radiotherapy||surgery,high_mortality||progressive
Multiple Myeloma,neoplastic,,,chemotherapy||stem cell transplantation,remission_possible
Phantom Limb Pain,traumatic,,pain||aches,physical_therapy||injection||oral_medication||device_implantation,
Opioid-Induced Constipation,iatrogenic,clinical_evaluation,"difficult defecation||painful defecation||incomplete bowel-emptying||decreased frequency of emptying||hard, lumpy stools||straining",lifestyle_modification||oral_medication||dietary_intervention,variable
Rocky Mountain Spotted Fever||RMSF,infectious||inflammatory||vascular,laboratory_test||imaging,rash||fever||hyponatremia,oral_medication,high_mortality||full_recovery
Acute Graft-Versus-Host Disease,iatrogenic||inflammatory,,abdominal pain||hair loss||hepatitis||lung disorders||digestive tract disorders,injection,high_mortality
Pyoderma gangrenosum,inflammatory,,pain||ulceration,oral_medication,
Herpes Simplex Virus Infection||cold sores||genital herpes,infectious||genetic,,cold sores,,
Asthma,autoimmune||allergic,,wheezing||chest tightness||shortness of breath||coughing,oral_medication||inhaler||dietary_intervention,
Legionnaires' Disease,infectious,clinical_evaluation,fever||gastrointestinal issues||chest pain||shortness of breath||confusion,oral_medication,full_recovery||low_mortality
Cystic Fibrosis,genetic,,,,
Antibiotic-associated diarrhea,iatrogenic||infectious,,loose bowel motion||diarrhea,dietary_intervention,
Hemophilia B,genetic,,chronic pain||acute pain||bleeding||joint bleeds||mobility problems||pain/discomfort||anxiety||depression,injection,chronic_condition||quality_of_life_impairment
Attention-Deficit Hyperactivity Disorder,psychiatric,clinical_evaluation,behavioral issues||developmental delay||learning disabilities||mood disorder||irritability,oral_medication||psychotherapy||lifestyle_modification,chronic_condition||quality_of_life_impairment||variable
Microcytic Anemia,genetic||congenital||nutritional||inflammatory||toxic||others,laboratory_test,pale skin||pale color inside the eyelids||pale color under the nails||weakness||tiredness||irritability||shortness of breath||rapid heart rate||pica,oral_medication||injection||surgery||dietary_intervention||others,full_recovery||partial_recovery||chronic_condition||variable
Birth Control Heart Attack,vascular||iatrogenic,clinical_evaluation||laboratory_test||imaging,chest pain||chest pressure||chest squeezing||arm pain||jaw pain||neck pain||stomach pain||fatigue,surgery||drug_therapy||lifestyle_modification||others,high_mortality||quality_of_life_impairment||variable
Urinary Tract Infection,infectious||inflammatory,laboratory_test,inability to urinate||straining while trying to urinate||cloudy urine||bloody urine||excessive licking of the genital area||back pain||vomiting,oral_medication,
