name,position,nationality,team
Antonius Cleveland  ,,American  ,Lokomotiv Kuban  
Jay Vincent Jay Fletcher Vincent  ,Frontcourt,American  ,Los Angeles Lakers
Nikola Radi?evi?  ,Backcourt,Serbian  ,Cedevita Olimpija  
Fran Curran Francis Hugh Curran Sr.,,American,Rochester Royals
Mark Price  ,Backcourt,American  ,Orlando Magic
David Michineau  ,Backcourt,French  ,Bursaspor Basketbol  
Donta Hall  ,,American-born naturalized Azerbaijani  ,Saski Baskonia
Erick Strickland  ,,American  ,Milwaukee Bucks
David Lattin  ,Frontcourt,American  , New Orleans Jazz
Toby Kimball  ,Frontcourt,American  , New Orleans Jazz
Derek Grimm  ,Frontcourt,American  ,Sacramento Kings  
Anthony Marshon Davis Jr.,Frontcourt,American,Los Angeles Lakers
Brandan Keith Wright  ,,American  ,Houston Rockets  
Askia Rahman Jones  ,Backcourt,American-Venezuelan  ,Guaros de Lara
Carrick Felix  ,Backcourt,American  , Melbourne United
Mychel Thompson  ,Backcourt,American  , Santa Cruz Warriors
Marvin Roberts,,American,
"Kenneth ""Apple"" Green  ",,American  ,New York Knicks  
Gerald Madkins Jr.,,American,Grand Rapids Hoops
Don Anielak  ,,American  ,New York Knicks  
Philip Douglas Jackson  ,Frontcourt,American  , Los Angeles Lakers
Anthony Avent  ,Frontcourt,American  , PAOK Thessaloniki
Drew Edward Gordon  ,Frontcourt,American  ,Philadelphia 76ers  
Jarrett Jack  ,,American  ,Detroit Pistons  
Rick Hughes  ,,American  , HTV Basket
Lavoy Allen  ,,American  ,Philadelphia 76ers  
Ed Dahler Edward Dahler Jr.,,American,Philadelphia Warriors
Magic Johnson  ,Backcourt,American  ,Los Angeles Lakers
Stanley M. Noszka  ,, , Boston Celtics
Isiah Thomas  ,Backcourt,American  ,Detroit Pistons  
Dan Anderson,,American,Portland Trail Blazers
Jahlil Okafor,,Nigerian-American,Capitanes de Arecibo
Trent Tucker  ,Backcourt,American  ,Chicago Bulls  
Dwayne Kenneth Schintzius  ,Frontcourt,American  , Brevard Blue Ducks
Miles Julian Simon  ,Backcourt,American  ,Phoenix Suns  
Guy William Rodgers  ,,American  ,Milwaukee Bucks  
Vernon Maxwell,Backcourt,American,Dallas Mavericks
Tim Duncan,Frontcourt,American,San Antonio Spurs
Walter Berry ,Frontcourt,American  , Panteras de Miranda
James Patrick Walsh  ,Frontcourt,American  ,Philadelphia Warriors  
Tony Lorenzo Delk  ,,American  ,New Mexico State
Calvin Ramsey  ,Frontcourt,American  ,New York Knicks  
Gene Dyker Eugene Walter Dyker  ,Frontcourt,American  ,Milwaukee Hawks  
Derrick Chievous  ,Frontcourt,American  ,Cleveland Cavaliers  
Rik Smits  ,Frontcourt,Dutch  ,Indiana Pacers  
Anthony Edwards,Backcourt,American,Minnesota Timberwolves
"Harry Junior ""The Horse"" Gallatin  ",Frontcourt,American  ,Detroit Pistons  
Jim Brasco  ,,American  ,Milwaukee Hawks  
Darnell Hillman  ,Frontcourt,American,Golden State Warriors
Larry Robinson,Frontcourt,Canadian,Senior Consultant to Hockey Operations for the St. Louis Blues
Nicholas William Calathes ,Backcourt,Greek-American  ,AS Monaco  
Rod Derline  ,Backcourt, ,Seattle SuperSonics  
Kurt Thomas  ,Frontcourt,American  , New York Knicks
Kevin Wayne Durant,Frontcourt,American,Phoenix Suns
Aaron Williams  ,Frontcourt,American  , Los Angeles Clippers
Nathaniel Thomas Huffman  ,,American  ,Toronto Raptors  
Fred Boyd  ,,American  ,New Orleans Jazz  
William Bedford  ,Frontcourt,American  , Grand Rapids Hoops
Steve Smith,Backcourt,American,Charlotte Bobcats
Shawn Christopher Respert  ,,American  ,  
Rodney Strickland  ,,American  , Houston Rockets
Elmer H. Behnke  ,,American  ,Milwaukee Hawks  
Lamar Brandon Stevens  ,,American  ,Memphis Grizzlies  
Ronald Moore  ,Backcourt,American  ,Debreceni EAC  
Erazem Lorbek  ,Frontcourt,Slovenian  , Petrol Olimpija
