company_name,metric_value,metric_type
Rectifier Technologies Ltd,14761523.0,Revenue
Beazley plc,3466600000.0,Revenue
"Aurora Innovation, Inc.",68000000.0,Revenue
NEW ZEALAND MEDIA AND ENTERTAINMENT,355433000.0,Revenue
INMUNE BIO INC.,374000.0,Revenue
"CSG Systems International, Inc.",1089752000.0,Revenue
Trinity Place Holdings Inc.,42984000.0,Revenue
Suncorp Group Limited,9250000000.0,Revenue
Poste Italiane S.p.A.,13730962770.0,Revenue
"Guaranty Bancshares, Inc.",107829000.0,Revenue
Incitec Pivot Limited,6315300000.0,Revenue
Toshiba Corporation,25003000000.0,Revenue
Swiss Water Decaffeinated Coffee Inc.,176935000.0,Revenue
"Kiniksa Pharmaceuticals, Ltd.",220180000.0,Revenue
Brave Bison Group plc,42963764.0,Revenue
Playtech plc,1850197860.0,Revenue
"RumbleOn, Inc.",1793368000.0,Revenue
MGM Resorts International,13128000000.0,Revenue
AA Limited,989000000.0,Revenue
"BCB Bancorp, Inc.",118615000.0,Revenue
Kelly Partners Group Holdings Limited,67435877.0,Revenue
Nordic American Tankers Limited,339340000.0,Revenue
Franklin Covey Co.,262841000.0,Revenue
Integra LifeSciences Holdings Corporation,1557666000.0,Revenue
Mosaic Brands Limited,433755700.0,Revenue
Albany International Corp.,1034887000.0,Revenue
EPI (Holdings) Limited,5747505.0,Revenue
Starvest plc,66785.0,Revenue
Emera Incorporated,7588000000.0,Revenue
"Bionano Genomics, Inc.",27802000.0,Revenue
NextNav Inc.,3926000.0,Revenue
Arcadia Minerals Limited,9071.0,Revenue
Elixir Energy Limited,38926.0,Revenue
"Rapid7, Inc.",685083000.0,Revenue
"1-800-FLOWERS.COM, Inc.",2207885000.0,Revenue
"WEIS MARKETS, INC.",4695943000.0,Revenue
"NeoGenomics, Inc.",509728000.0,Revenue
Downer EDI Limited,7129223640.0,Revenue
Aptiv PLC,17489000000.0,Revenue
"Bridgewater Bancshares, Inc.",136030000.0,Revenue
Microsoft Corporation,198270000000.0,Revenue
James Halstead plc,396056939.0,Revenue
Infinera Corporation,1573242000.0,Revenue
"Odyssey Group Holdings, Inc.",5600200000.0,Revenue
Ritchie Bros. Auctioneers Incorporated,1733808000.0,Revenue
"Enact Holdings, Inc.",1095046000.0,Revenue
Alcoa Corporation,12451000000.0,Revenue
Incyte Corporation,3394635000.0,Revenue
"HCA Healthcare, Inc.",60233000000.0,Revenue
"MainStreet Bancshares, Inc.",83845000.0,Revenue
Verrica Pharmaceuticals Inc.,9032000.0,Revenue
"Wheeler Real Estate Investment Trust, Inc.",76645000.0,Revenue
BetMakers Technology Group Ltd,91682000.0,Revenue
Motability Operations Group plc,6389940000.0,Revenue
"Origin Bancorp, Inc.",326604000.0,Revenue
Jefferies Financial Group Inc.,5978838000.0,Revenue
"Insperity, Inc.",5938818000.0,Revenue
archTIS Limited,3368700.0,Revenue
ACRES Commercial Realty Corp.,75170000.0,Revenue
AstraZeneca PLC,44351000000.0,Revenue
Commerzbank Aktiengesellschaft,10926792730.0,Revenue
SThree plc,2207841928.0,Revenue
Aptevo Therapeutics Inc.,42796000.0,Revenue
"Sonic Automotive, Inc.",14001100000.0,Revenue
"FNCB Bancorp, Inc.",62025000.0,Revenue
Tellurian Inc.,391926000.0,Revenue
Seiko Epson Corporation,9231449000.0,Revenue
RWE Aktiengesellschaft,44337071542.0,Revenue
Datalogic S.p.A.,757061500.0,Revenue
Odyssey Gold Limited,11565941.0,Revenue
"Ziff Davis, Inc.",1390997000.0,Revenue
"MongoDB, Inc.",1284012000.0,Revenue
Pintec Technology Holdings Limited,10812000.0,Revenue
Aeeris Ltd,2210529.0,Revenue
abrdn Japan Investment Trust plc,2708592.0,Revenue
Medallion Financial Corp.,196621000.0,Revenue
Liberty Broadband Corporation,975000000.0,Revenue
Kruger Products Tissue Inc.,1237680000.0,Revenue
OFX Group Limited,102500000.0,Revenue
"Blue Apron Holdings, Inc.",458467000.0,Revenue
CoreCard Corporation,69765000.0,Revenue
Crombie Real Estate Investment Trust,308860935.0,Revenue
SIG plc,3172610000.0,Revenue
Peako Limited,1208.0,Revenue
Empire Company Limited,22202542600.0,Revenue
"Senti Biosciences, Inc.",4286000.0,Revenue
Galileo Resources Plc,451754.0,Revenue
Duni AB (publ),725504000.0,Revenue
Structural Monitoring Systems Plc,10185532.0,Revenue
Rectifier Technologies Ltd,22929553.0,Total Assets
Beazley plc,15099000000.0,Total Assets
"Aurora Innovation, Inc.",2001000000.0,Total Assets
NEW ZEALAND MEDIA AND ENTERTAINMENT,306237000.0,Total Assets
INMUNE BIO INC.,81795000.0,Total Assets
"CSG Systems International, Inc.",1348553000.0,Total Assets
Trinity Place Holdings Inc.,306927000.0,Total Assets
Suncorp Group Limited,106000000000.0,Total Assets
Poste Italiane S.p.A.,302160000000.0,Total Assets
"Guaranty Bancshares, Inc.",3351495000.0,Total Assets
Incitec Pivot Limited,9378600000.0,Total Assets
Toshiba Corporation,29750000000.0,Total Assets
Swiss Water Decaffeinated Coffee Inc.,219039000.0,Total Assets
"Kiniksa Pharmaceuticals, Ltd.",459672000.0,Total Assets
NuCana plc,79065000.0,Total Assets
Westwater Resources Inc.,168408000.0,Total Assets
Brave Bison Group plc,27962361.0,Total Assets
Playtech plc,3491312000.0,Total Assets
"RumbleOn, Inc.",1027210000.0,Total Assets
"Syndax Pharmaceuticals, Inc.",497236000.0,Total Assets
MGM Resorts International,45869000000.0,Total Assets
AA Limited,2045000000.0,Total Assets
Benjamin Hornigold Ltd,7710615.0,Total Assets
"BCB Bancorp, Inc.",3546193000.0,Total Assets
Kelly Partners Group Holdings Limited,106642496.0,Total Assets
Nordic American Tankers Limited,879883000.0,Total Assets
Franklin Covey Co.,259155000.0,Total Assets
Integra LifeSciences Holdings Corporation,3889758000.0,Total Assets
Mosaic Brands Limited,239726000.0,Total Assets
Albany International Corp.,1642255000.0,Total Assets
EPI (Holdings) Limited,55271348.0,Total Assets
Starvest plc,8299629.0,Total Assets
Emera Incorporated,39742000000.0,Total Assets
"Bionano Genomics, Inc.",307502000.0,Total Assets
NextNav Inc.,123788000.0,Total Assets
"ARCA biopharma, Inc.",43085000.0,Total Assets
Arcadia Minerals Limited,8995734.0,Total Assets
Elixir Energy Limited,44125647.0,Total Assets
"Rapid7, Inc.",1358991000.0,Total Assets
"1-800-FLOWERS.COM, Inc.",1094891000.0,Total Assets
"WEIS MARKETS, INC.",1959150000.0,Total Assets
"NeoGenomics, Inc.",1740034000.0,Total Assets
Downer EDI Limited,4840398360.0,Total Assets
Aptiv PLC,21884000000.0,Total Assets
"Bridgewater Bancshares, Inc.",4345662000.0,Total Assets
Microsoft Corporation,364840000000.0,Total Assets
James Halstead plc,365951672.0,Total Assets
Infinera Corporation,1669138000.0,Total Assets
"Odyssey Group Holdings, Inc.",19325900000.0,Total Assets
Ritchie Bros. Auctioneers Incorporated,2863727000.0,Total Assets
"Atreca, Inc.",155030000.0,Total Assets
"Enact Holdings, Inc.",5709149000.0,Total Assets
Alcoa Corporation,14756000000.0,Total Assets
Incyte Corporation,3372641000.0,Total Assets
"HCA Healthcare, Inc.",52438000000.0,Total Assets
"MainStreet Bancshares, Inc.",1925751000.0,Total Assets
Verrica Pharmaceuticals Inc.,44721000.0,Total Assets
"Wheeler Real Estate Investment Trust, Inc.",684536000.0,Total Assets
BetMakers Technology Group Ltd,223060000.0,Total Assets
Motability Operations Group plc,16121890000.0,Total Assets
"Origin Bancorp, Inc.",9686067000.0,Total Assets
Jefferies Financial Group Inc.,51057683000.0,Total Assets
"Insperity, Inc.",2039261000.0,Total Assets
archTIS Limited,19532000.0,Total Assets
ACRES Commercial Realty Corp.,2376652000.0,Total Assets
Armadale Capital Plc,9826110.0,Total Assets
AstraZeneca PLC,96483000000.0,Total Assets
Commerzbank Aktiengesellschaft,551516000000.0,Total Assets
SThree plc,633493066.8,Total Assets
Aptevo Therapeutics Inc.,34215000.0,Total Assets
"Sonic Automotive, Inc.",4978300000.0,Total Assets
"FNCB Bancorp, Inc.",1745530000.0,Total Assets
"Ocugen, Inc.",108632000.0,Total Assets
Tellurian Inc.,1426683000.0,Total Assets
Seiko Epson Corporation,10355875000.0,Total Assets
RWE Aktiengesellschaft,160111000000.0,Total Assets
Datalogic S.p.A.,853473992.0,Total Assets
Odyssey Gold Limited,6549888.0,Total Assets
"Ziff Davis, Inc.",3341000000.0,Total Assets
"MongoDB, Inc.",2456638000.0,Total Assets
Pintec Technology Holdings Limited,76679000.0,Total Assets
Aeeris Ltd,3398960.0,Total Assets
abrdn Japan Investment Trust plc,136955488.0,Total Assets
Medallion Financial Corp.,2259879000.0,Total Assets
