age,nba_team,name,id,owner.id
63,Oklahoma City Thunder,clay bennett,,
-1,Orlando Magic,daniel g devos,,
-1,Denver Nuggets,enos stanley kroenke,,
77,New Orleans Pelicans,gayle marie lajaunie bird benson,,
-1,Indiana Pacers,herbert simon,,
67,New York Knicks,james lawrence dolan,,
88,Chicago Bulls,jerry michael reinsdorf,,
-1,Brooklyn Nets,joseph chung-hsin tsai,,
59,Philadelphia 76ers,joshua jordan harris,,
54,Dallas Mavericks,mark cuban,,
-1,Miami Heat,micky arison,,
68,Los Angeles Clippers,steven anthony ballmer,,
66,Houston Rockets,tilman joseph fertitta,,
1964,Detroit Pistons,tom gores,,
