age,nba_team,name
60,Detroit Pistons,Tom Gores
68,Los Angeles Clippers,Steven Anthony Ballmer
66,Orlando Magic,Daniel G. DeVos
65,Dallas Mavericks,Mark Cuban
66,Houston Rockets,Tilman Joseph Fertitta
59,Brooklyn Nets,Joseph Chung-Hsin Tsai
64,Oklahoma City Thunder,Clay Bennett
89,Indiana Pacers,Herbert Simon
88,Chicago Bulls,Jerry Michael Reinsdorf
77,New Orleans Pelicans,Gayle Marie LaJaunie Bird Benson
76,Denver Nuggets,Enos Stanley Kroenke
59,Philadelphia 76ers,Joshua Jordan Harris
68,New York Knicks,James Lawrence Dolan
1949,Miami Heat,Micky Arison
67,Golden State Warriors,Joseph Steven Lacob
