id,disease_name,disease_type,etiology,treatment_challenges
disease_2,Pleural Effusion,inflammatory||infectious||vascular||others,pneumonia||pulmonary embolism||kidney disease||congestive heart failure,
disease_6,Gout,metabolic||inflammatory,hyperuricemia,high_recurrence_risk||withdrawal_symptoms
disease_11,Rocky Mountain Spotted Fever||RMSF,infectious||inflammatory||vascular,Rickettsia rickettsii infection||tick-borne,higher risk of death with antibiotics other than doxycycline
disease_12,Acute Graft-Versus-Host Disease,iatrogenic||inflammatory,bone marrow transplantation,
disease_13,Pyoderma gangrenosum,inflammatory,,
disease_21,Microcytic Anemia,genetic||congenital||nutritional||inflammatory||toxic||others,thalassemia||iron deficiency||chronic disease||lead poisoning||sideroblastic anemia,
disease_23,Urinary Tract Infection,infectious||inflammatory,bacterial exposure||injury,drug resistance
disease_25,Gastroesophageal Reflux Disease||GERD,inflammatory,abnormalities of the antireflux barrier (lower esophageal sphincter),drug resistance||frequent relapse||side effects||poor adherence
disease_30,Ear Infections,infectious||inflammatory,bacterial infection||viral infection,frequent relapse||symptom masking
disease_38,Acute Appendicitis,inflammatory,,
disease_39,Influenza,infectious||inflammatory,viral infection,
disease_41,Irritable Bowel Syndrome,idiopathic||inflammatory||psychiatric||others,unknown||gastrointestinal infection||stress||anger||microbial imbalance||endocannabinoid deficiency,poor efficacy||serious side effects||lack of clinical evidence
disease_42,Low Back Pain,degenerative||traumatic||inflammatory||infectious||neoplastic||idiopathic||others,musculoskeletal_strain||herniated_disc||compressed_nerve_root||degenerative_disc||joint_disease||vertebral_fracture||tumor||inflammatory_condition||infection||gallbladder_disease||kidney_stone||kidney_infection||aortic_aneurysm,side_effects||addiction_risk||negative_drug_interactions
disease_43,Acne,infectious||inflammatory,,drug resistance||side effects
disease_44,Periodontal Disease,infectious||inflammatory,bacteria||genes||disease||trauma,
disease_54,Immune Reconstitution Syndrome (IRS),infectious||inflammatory||iatrogenic,initiation of HAART in HIV-infected patients,
disease_58,Plaque Psoriasis,inflammatory,,
disease_59,Tuberculosis,infectious||inflammatory,Mycobacterium tuberculosis infection,
disease_61,Systemic Lupus Erythematosus||SLE,autoimmune||inflammatory,,high_cost||few_rheumatologists||poor_access_to_care
disease_63,Acute Bacterial Prostatitis,infectious||inflammatory,bacteria based in the large intestines or urinary tract,
disease_64,Secondary Peritonitis,inflammatory,,
disease_69,Charcot Neuropathic Osteoarthropathy,metabolic||degenerative||inflammatory||traumatic||vascular||idiopathic,diabetes mellitus||sensory-motor neuropathy||autonomic neuropathy||trauma||metabolic abnormalities of bone||idiopathic neuropathy||alcoholism||rheumatoid arthritis,poor adherence||lack of effective pharmacologic therapy||risk of relapse||comorbidities||surgical risk
disease_72,Rabies,infectious||inflammatory,viral infection||dog bite,
disease_75,Crohn's disease,inflammatory,,side effects||poor adherence||withdrawal symptoms
disease_80,Sinus Migraine,inflammatory||idiopathic||others,,poor response to standard sinusitis treatments
disease_83,Cystoid Macular Edema,inflammatory,uveitis,treatment remains challenging||side effects||prolonged costly treatment||no clear silver bullet for therapy
disease_84,Preeclampsia,vascular||inflammatory||idiopathic,blood vessel issues||genetic factors||autoimmune disorders||insufficient blood flow into the uterus,no definitive treatment||cannot be treated till delivery
disease_86,Psoriatic Arthritis||PsA,autoimmune||inflammatory,immune system overactivity||psoriasis,side effects||cardiovascular risk of some drugs
disease_87,Bell's palsy,idiopathic||inflammatory||infectious_viral,reactivation of latent herpes simplex virus||reactivation of varicella zoster virus||unknown cause,no established treatment for nonrecovering cases
disease_88,Sarcopenia,degenerative||nutritional||endocrine||inflammatory,lack of physical activity||poor diet||questionable lifestyle vices||systemic inflammatory disorders||decreased growth hormone levels||significant underlying medical problem,
disease_89,Advanced Non-Small Cell Lung Cancer||advanced non-small–cell lung cancers||NSCLC||non-small cell lung cancer||non-squamous NSCLCs||squamous NSCLCs,neoplastic||inflammatory,,only a minority benefit from immunotherapy||high cost||identifying responders is critical
disease_90,Peritonitis,infectious||inflammatory,Staphylococcus aureus||Ewingella americana||disruption of the peritoneum||catheterization||hospital water sources,
