name,position,team_name,founded_year
D'Angelo Russell D'Angelo Russell,point guard,Los Angeles Lakers,1946
Joel Hans Embiid,Frontcourt,Philadelphia 76ers,1946
Kyrie Andrew Irving,Backcourt,Dallas Mavericks,1980
Jayson Tatum,Frontcourt,Boston Celtics,1946
Caleb Martin,small forward,Miami Heat,1988
Andrew Christian Wiggins,Forward,Golden State Warriors,1946
Jaylen Marselles Brown,Shooting Guard and Small Forward,Boston Celtics,1946
Al Horford,Backcourt,Boston Celtics,1946
Duncan McBryde Robinson,Backcourt,Miami Heat,1988
LeBron Raymone James Sr.,Frontcourt,Los Angeles Lakers,1946
Jimmy Butler III,,Miami Heat,1988
Kevon Looney Kevon Grant Looney,Backcourt,Golden State Warriors,1946
Devin Armani Booker,Backcourt,Phoenix Suns,1968
Lonzo Anderson Ball,point guard,New Orleans Pelicans,1974
Bam Adebayo Edrice Femi Adebayo,Frontcourt,Miami Heat,1988
Drew Edward Gordon,power forward,Dallas Mavericks,1980
Earvin 'Magic' Johnson Jr.,Backcourt,Los Angeles Lakers,1946
Timothy Theodore Duncan,power forward,San Antonio Spurs,1967
Aaron Williams,power forward,Utah Jazz,1974
,Shooting Guard,Phoenix Suns,1968
