name,position,city_name,population
Buddy Hield Chavano Rainer 'Buddy' Hield,,San Francisco,808988.0
D'Angelo Russell D'Angelo Russell,point guard,Los Angeles,3792621.0
Kyrie Andrew Irving,Backcourt,Dallas,1304379.0
Jayson Tatum,Frontcourt,Boston,675647.0
Caleb Martin,small forward,Miami,442241.0
Andrew Christian Wiggins,Forward,San Francisco,808988.0
Jaylen Marselles Brown,Shooting Guard and Small Forward,Boston,675647.0
Victor Wembanyama,Frontcourt,San Antonio,2608798.0
Austin Tyler Reaves,Guard,Los Angeles,3792621.0
Kevin Wesley Love,Frontcourt,Miami,442241.0
Al Horford,Backcourt,Boston,675647.0
Tyler Herro,Backcourt,Miami,442241.0
Duncan McBryde Robinson,Backcourt,Miami,442241.0
Anthony Marshon Davis Jr.,power forward and center,Los Angeles,3792621.0
Jimmy Butler III,,Miami,442241.0
Kevon Looney Kevon Grant Looney,Backcourt,San Francisco,808988.0
Zach LaVine,Point guard,Chicago,2746388.0
Devin Armani Booker,Backcourt,Phoenix,1662607.0
Draymond Jamal Green,power forward,San Francisco,808988.0
Zach Collins,Center,San Antonio,2608798.0
Jonathan Kuminga,Backcourt,San Francisco,808988.0
Lonzo Anderson Ball,point guard,New Orleans,383997.0
Jaime Jaquez Jr.,Forward,Miami,442241.0
Bam Adebayo Edrice Femi Adebayo,Frontcourt,Miami,442241.0
Drew Edward Gordon,power forward,Dallas,1304379.0
Timothy Theodore Duncan,power forward,San Antonio,2608798.0
Anthony Edwards,Shooting Guard,Minneapolis,429954.0
Dino Rađa,,Boston,675647.0
Dennis Schröder,Backcourt,New York City,8258035.0
Trayce Jackson-Davis,Forward,San Francisco,808988.0
Antetokounmpo,,Milwaukee,577222.0
Chris Paul,point guard,Phoenix,1662607.0
Ricky Berry,,Sacramento,524943.0
