team_name,location,city_name,state_name
Atlanta Hawks,Atlanta,Atlanta,Georgia
Golden State Warriors,San Francisco,San Francisco,California
Houston Rockets,Houston,Houston,Texas
Indiana Pacers,Indianapolis,Indianapolis,Indiana
Los Angeles Clippers,Inglewood,Inglewood,California
Los Angeles Lakers,Los Angeles,Los Angeles,California
Memphis Grizzlies,Memphis,Memphis,Tennessee
Miami Heat,Miami,Miami,Florida
Milwaukee Bucks,Milwaukee,Milwaukee,Wisconsin
Minnesota Timberwolves,Minneapolis,Minneapolis,Minnesota
New Orleans Pelicans,New Orleans,New Orleans,Louisiana
Boston Celtics,Boston,Boston,Massachusetts
New York Knickerbockers,New York City,New York City,New York
Oklahoma City Thunder,Oklahoma City,Oklahoma City,Oklahoma
Orlando Magic,Orlando,Orlando,Florida
Phoenix Suns,Phoenix,Phoenix,Arizona
San Antonio Spurs,San Antonio,San Antonio,Texas
Toronto Raptors,Toronto,Toronto,Ontario
Utah Jazz,Salt Lake City,Salt Lake City,Utah
Brooklyn Nets,New York City,New York City,New York
Charlotte Hornets,Charlotte,Charlotte,North Carolina
Chicago Bulls,Chicago,Chicago,Illinois
Dallas Mavericks,Dallas,Dallas,Texas
Denver Nuggets,Denver,Denver,Colorado
San Francisco Dons,San Francisco,San Francisco,California
San Francisco State Gators,San Francisco,San Francisco,California
UTSA Roadrunners,San Antonio,San Antonio,Texas
Incarnate Word Cardinals,San Antonio,San Antonio,Texas
Houston Dynamo,Houston,Houston,Texas
Houston Astros,Houston,Houston,Texas
SF Giants,San Francisco,San Francisco,California
San Francisco 49ers,San Francisco,San Francisco,California
San Francisco Shock,San Francisco,San Francisco,California
Real Salt Lake,Salt Lake City,Salt Lake City,Utah
Utah Hockey Club,Salt Lake City,Salt Lake City,Utah
Utah Warriors,Salt Lake City,Salt Lake City,Utah
Utah Blaze,Salt Lake City,Salt Lake City,Utah
San Antonio FC,San Antonio,San Antonio,Texas
Indianapolis Colts,Indianapolis,Indianapolis,Indiana
Indiana Fever,Indianapolis,Indianapolis,Indiana
Indianapolis Indians,Indianapolis,Indianapolis,Indiana
Indy Eleven,Indianapolis,Indianapolis,Indiana
Indy Fuel,Indianapolis,Indianapolis,Indiana
The Blaze,Salt Lake City,Salt Lake City,Utah
Pacific Coast League's Salt Lake Bees,Salt Lake City,Salt Lake City,Utah
Toronto FC,Toronto,Toronto,Ontario
Toronto Rock,Toronto,Toronto,Ontario
Toronto Wolfpack,Toronto,Toronto,Ontario
Toronto Rush,Toronto,Toronto,Ontario
New Orleans Hornets,Oklahoma City,Oklahoma City,Oklahoma
Thunder,Oklahoma City,Oklahoma City,Oklahoma
Portland Timbers,Portland,Portland,Oregon
Philadelphia Spinners,Philadelphia,Philadelphia,Pennsylvania
Cavaliers,Cleveland,Cleveland,Ohio
Spurs,San Antonio,San Antonio,Texas
76ers,Philadelphia,Philadelphia,Pennsylvania
Arizona Cardinals,Phoenix,Phoenix,Arizona
Browns,Cleveland,Cleveland,Ohio
Warriors,San Francisco,San Francisco,California
Bucks,Milwaukee,Milwaukee,Wisconsin
Celtics,Boston,Boston,Massachusetts
Philadelphia Phillies,Philadelphia,Philadelphia,Pennsylvania
Philadelphia Eagles,Philadelphia,Philadelphia,Pennsylvania
Philadelphia Flyers,Philadelphia,Philadelphia,Pennsylvania
Atlanta Braves,Atlanta,Atlanta,Georgia
Cleveland Monsters,Cleveland,Cleveland,Ohio
Minnesota Vikings,Minneapolis,Minneapolis,Minnesota
Minnesota Twins,Minneapolis,Minneapolis,Minnesota
Minnesota Lynx,Minneapolis,Minneapolis,Minnesota
Cleveland Pipers,Cleveland,Cleveland,Ohio
Atlanta United FC,Atlanta,Atlanta,Georgia
"Scott's Liquid Gold, Inc.",Denver,Denver,Colorado
Village Inn restaurants,Denver,Denver,Colorado
"Big O Tires, LLC",Denver,Denver,Colorado
The Shane Company,Denver,Denver,Colorado
Phoenix Rising FC,Phoenix,Phoenix,Arizona
Pelicans,New Orleans,New Orleans,Louisiana
Lakers,Los Angeles,Los Angeles,California
Rockets,Houston,Houston,Texas
Pistons,Detroit,Detroit,Michigan
L.A. Clippers,Los Angeles,Los Angeles,California
Miami Tropics,Miami,Miami,Florida
Loyola,New Orleans,New Orleans,Louisiana
Raptors,Toronto,Toronto,Ontario
Dodgers,Los Angeles,Los Angeles,California
Bulls,Chicago,Chicago,Illinois
Denver Rockets,Denver,Denver,Colorado
Grizzlies,Memphis,Memphis,Tennessee
Hornets,New Orleans,New Orleans,Louisiana
Sixers,Philadelphia,Philadelphia,Pennsylvania
Jazz,Salt Lake City,Salt Lake City,Utah
Nuggets,Denver,Denver,Colorado
Bullets,Washington,Washington,
Bobcats,Charlotte,Charlotte,North Carolina
Trail Blazers,Portland,Portland,Oregon
New Orleans Jazz,New Orleans,New Orleans,Louisiana
Magic,Orlando,Orlando,Florida
Kings,Sacramento,Sacramento,California
Cavs,Cleveland,Cleveland,Ohio
Wizards,Washington,Washington,
Charlotte Bobcats,Charlotte,Charlotte,North Carolina
Blazers,Portland,Portland,Oregon
Avalanche and Nuggets,Denver,Denver,Colorado
