name,position,team_name,founded_year,id,player.id,team.id
aaron williams,power forward and center,Utah Jazz,1974,,,
andre jamal drummond,Center,Philadelphia 76ers,1946,,,
andrew christian wiggins,Frontcourt,Golden State Warriors,1946,,,
anthony marshon davis,power forward and center,Los Angeles Lakers,1946,,,
austin tyler reaves,Backcourt,Los Angeles Lakers,1946,,,
caleb martin,small forward,Philadelphia 76ers,1946,,,
"chavano rainer ""buddy"" hield",Guard,Philadelphia 76ers,1946,,,
christopher emmanuel paul,Point Guard,San Antonio Spurs,1967,,,
darnell hillman,Forward,Indiana Pacers,1967,,,
devin armani booker,Backcourt,Phoenix Suns,1968,,,
draymond jamal green,power forward,Golden State Warriors,1946,,,
duncan mcbryde robinson,Backcourt,Miami Heat,1988,,,
"edrice femi ""bam"" adebayo",Frontcourt,Miami Heat,1988,,,
giannis sina ugo antetokounmpo,forward and sometimes described as a point forward,Milwaukee Bucks,1968,,,
harrison bryce jordan barnes,Backcourt,San Antonio Spurs,1967,,,
jalen marquis brunson,Point Guard,New York Knicks,1946,,,
jarrett jack,Backcourt,New York Knicks,1946,,,
jaylen marselles brown,"Shooting Guard, Small Forward",Boston Celtics,1946,,,
jayson christopher tatum,Frontcourt,Boston Celtics,1946,,,
jimmy butler,Backcourt,Miami Heat,1988,,,
joel hans embiid,Frontcourt,Philadelphia 76ers,1946,,,
jrue randall holiday,Backcourt,Boston Celtics,1946,,,
kermit washington,Big defensive forward,Los Angeles Lakers,1946,,,
kevin wayne durant,Small Forward,Phoenix Suns,1968,,,
kobe bean bryant,Shooting guard,Los Angeles Lakers,1946,,,
kyle terrell lowry,Backcourt,Philadelphia 76ers,1946,,,
kyrie andrew irving,Backcourt,Dallas Mavericks,1980,,,
lamar brandon stevens,Frontcourt,Boston Celtics,1946,,,
lebron raymone james,Frontcourt,Los Angeles Lakers,1946,,,
lonzo anderson ball,point guard,Chicago Bulls,1966,,,
magic johnson,Point Guard,Los Angeles Lakers,1946,,,
"ogugua ""og"" anunoby",Frontcourt,New York Knicks,1946,,,
shaquille rashaun o'neal,Center,Orlando Magic,1989,,,
wardell stephen curry,Point guard,Golden State Warriors,1946,,,
zachary thomas lavine,Backcourt,Chicago Bulls,1966,,,
