court_name,hearing_year,judgment_year,file
Federal Magistrates Court,0,2009,09_1398.txt
Western Australian Magistrates Court,2009,2009,09_618.txt
Federal Court,2008,2009,09_57.txt
Administrative Appeals Tribunal,2006,2006,06_1620.txt
Federal Court of Australia,0,2009,09_7.txt
Federal Magistrates Court,2008,2009,09_217.txt
Federal Court,2008,2008,08_1284.txt
Federal Court of Australia,0,2008,08_55.txt
Federal Magistrates Court of Australia,2006,2006,06_662.txt
Federal Court of Australia,0,2007,07_2034.txt
Federal Court,0,2009,09_902.txt
Federal Court of Australia,2009,2009,09_1205.txt
Federal Magistrates Court,2006,2006,06_478.txt
Federal Court,2009,2009,09_1480.txt
Federal Court of Australia,0,2009,09_1154.txt
Federal Court of Australia,0,2009,09_789.txt
Federal Court,2009,2009,09_1391.txt
Federal Court of Australia,2009,2009,09_1399.txt
Federal Court of Australia,0,2009,09_26.txt
Federal Court of Australia,2009,2009,09_516.txt
Federal Court,2008,2008,08_783.txt
This Court,0,2009,09_632.txt
Federal Magistrate,2009,2009,09_841.txt
Federal Magistrates Court,2007,2007,07_863.txt
Federal Court,2009,2009,09_1477.txt
Western Australian Magistrates Court at Perth,2009,2009,09_394.txt
Federal Court of Australia,2007,2007,07_86.txt
Magistrates Court of Queensland,0,2009,09_307.txt
Federal Court,0,2009,09_87.txt
Federal Magistrates Court,2007,2007,07_702.txt
Federal Court,2009,2009,09_570.txt
FCA (Federal Court of Australia),2006,2007,07_7.txt
Federal Court,2009,2009,09_1122.txt
Federal Court,2009,2009,09_372.txt
Federal Court,0,2009,09_660.txt
Federal Court,0,2009,09_980.txt
Federal Court of Australia,2009,2009,09_484.txt
Federal Court of Australia,2009,2009,09_1058.txt
