court_name,judge_name,hearing_year,judgment_year,file,plaintextjudgment_year,plaintextjudge_name,plainjudge_name,plaintextcourt_name,markdownhearing_year
NAN,EDMONDS J, 2005,NAN,06_900.txt, 2005,,,,
 Federal Court, Ms M Brennan,2009,2009,09_1154.txt,,,,,
 Federal Court of Australia,Siopis,2006,2006,06_135.txt,,,,,
Federal Court of Australia,Cowdroy J, 2007,2007,07_86.txt,,,,,
NAN,Honourable Justice Moore,2006,2006,06_478.txt,,,,,
 Federal Court,Honourable Justice Jacobson,2009,2009,09_372.txt,,,,,
 Federal Court of Australia,NAN,2007,2007,07_1599.txt,,,,,
 The Federal Court of Australia,NAN, 2000, 2004,09_789.txt,,,,,
NAN, Kenny J,2007,2007,07_1823.txt,,,,,
NAN,NAN,2009,2008,09_57.txt,,,,,
 Federal Magistrates Court,NAN, 2008,2008,09_217.txt,,,,,
 Federal Court,NAN,2008,2008,08_1542.txt,,,,,
 Federal Court of Australia, Justice Jagot,2009,2009,09_570.txt,,,,,
 Federal Court of Australia,Rares J,2008,2008,09_980.txt,,,,,
 Federal Court,NAN,2009,2009,09_87.txt,,,,,
 Federal Magistrates Court,Jacobson,2006,2007,07_479.txt,,,,,
NAN,NAN, 2006,2006,07_54.txt,, NAN,,,
 Federal Court,Jacobson,2009,2009,09_1391.txt,,,,,
NAN,NAN,2008,NAN,09_1255.txt, 2024,,,,
Federal Court of Australia,Gyles J,2003,2006,06_157.txt,,,,,
 Federal Court,Maddocks,2009,2009,09_1122.txt,,,,,
NAN,NAN,2008, 2008,09_7.txt,, NAN,,,
Magistrates Court of Queensland,Magistrate Payne,2004,2004,09_307.txt,,,,,
NAN,NAN,2008,2008,08_63.txt,,, Spender J,,
 Federal Court,NAN,2009,2009,07_811.txt,,,,,
NAN,NAN,2008,2008,08_1530.txt,,,,,
NAN, the Hon Mr Trevor Morling QC,2009,2009,09_516.txt,,,,,
NAN,Finkelstein,2008,2008,08_1860.txt,,,,,
NAN,Sheppard J,2024,2024,09_660.txt,,,, Federal Court,
 Federal Court,NAN,2006,2007,07_569.txt,,,,,
Federal Court of Australia,Dowsett J,2006,2006,07_545.txt,,,,,
NAN,NAN,2008, 2024,08_1870.txt,,,,,
 Federal Court,Honourable Justice Spender,2007,2007,08_1284.txt,,,,,
NAN,NAN,2006,2006,06_192.txt,,,,,
 Federal Magistrate's Court,NAN,2003,2004,06_435.txt,,,,,
 Federal Court of Australia,French J, 2007, 2007,07_2034.txt,,,,,
 High Court of Malaya, Mr Hamilton,2007,2007,07_961.txt,,,,,
Federal Court, Sackville J,2024,2024,08_1735.txt,,,,,
NAN,Honourable Justice Siopis,2009,2009,09_26.txt,,,,,
 Federal Magistrate,NAN,2009,2009,09_841.txt,,,,,
 Federal Magistrates Court," Emmett J, Bennett J, Einfeld J", 2004, 2004,06_224.txt,,,,,
NAN,NAN,2009,2009,09_1480.txt,,,,,
 The Australian Industrial Relations Commission,Jacobson,NAN, 2000,07_1692.txt,,,,, NAN
Supreme Court of New South Wales,NAN,2003, 2024,06_758.txt,,,,,
NAN,NAN,2006,2006,06_1054.txt,,,,,
 Federal Court of Australia,NAN,2007, 2007,07_1445.txt,,,,,
 Federal Court of Australia,MG Lundberg,2009,2009,09_484.txt,,,,,
 Federal Court,NAN,2006,2006,06_1290.txt,,,,,
 Federal Court of Australia,Jacobson,2009, 2009,09_1058.txt,,,,,
Federal Magistrates Court,Honourable Justice Jagot,2009,2009,09_902.txt,,,,,
 Federal Court of Australia,Collier,2006,2006,06_1680.txt,,,,,
 Federal Court, Mansfield J, 2008, 2008,08_907.txt,,,,,
 Federal Magistrates Court, Federal Magistrate McInnis,2005,2005,06_548.txt,,,,,
" Magistrates' Court of Victoria, Supreme Court of Victoria, Federal Magistrates' Court, Federal Court of Australia",McInnis FM,2007,2007,07_1520.txt,,,,,
Federal Magistrates Court, Walter FM,2005,2005,06_41.txt,,,,,
 Federal Court,NAN,2009,2009,09_1477.txt,,,,,
 Federal Court of Australia,Jacobson,2008,2008,08_130.txt,,,,,
NAN,Honourable Justice Middleton,2007,2007,07_702.txt,,,,,
NAN,EDMONDS J,2005,NAN,06_18.txt,,,,,
 Federal Court of Australia,Homer Zeitz,2007,2007,08_1016.txt,,,,,
 Federal Magistrates Court,NAN,2007,2008,08_1765.txt,,,,,
FEDERAL COURT OF AUSTRALIA,CONTI J, 2006,2006,06_1220.txt,,,,,
 Supreme Court of New South Wales,Lindgren,2008,2008,09_632.txt,,,,,
 Federal Court of Australia,NAN,2007, 2007,07_881.txt,,,,,
 Federal Court, von Doussa J, 2002,NAN,06_1620.txt, 2005,,,,
NAN,NAN,2009,2009,09_1205.txt,,,,,
 Federal Court of Australia, Dr Bleby,2005,2005,06_1147.txt,,,,,
NAN,NAN, 2024,2024,09_753.txt,,,,,
 Western Australian Magistrates Court at Perth,Honourable Justice Barker,2009,2009,09_394.txt,,,,,
NAN,NAN,2009, 2009,09_1399.txt,,,,,
 Federal Court of Australia,Sackville J,2006,2006,06_515.txt,,,,,
 Universal Music v Sharman,His Honour, 2004,NAN,08_783.txt, 2004,,,,
 this Court,Jacobson,2009,2009,09_618.txt,,,,,
 Federal Magistrates Court,Tadgell J,2008,2008,09_1398.txt,,,,,
