city_name,state_name,team_name,name,city.id,id,player.id,team.id
boston,Massachusetts,Boston Celtics,Jayson Tatum,,,,
boston,Massachusetts,Boston Celtics,Jaylen Marselles Brown,,,,
boston,Massachusetts,Boston Celtics,Jrue Holiday,,,,
boston,Massachusetts,Boston Celtics,Al Horford,,,,
chicago,Illinois,Chicago Bulls,Zach LaVine,,,,
chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball,,,,
dallas,Texas,Dallas Mavericks,Jalen Marquis Brunson,,,,
houston,Texas,Houston Rockets,Kostas Papanikolaou,,,,
los angeles,California,Los Angeles Lakers,Austin Tyler Reaves,,,,
los angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.,,,,
los angeles,California,Los Angeles Lakers,Kobe Bean Bryant,,,,
miami,Florida,Miami Heat,Kevin Wesley Love,,,,
miami,Florida,Miami Heat,Tyler Herro,,,,
miami,Florida,Miami Heat,Duncan McBryde Robinson,,,,
miami,Florida,Miami Heat,Jimmy Butler III,,,,
miami,Florida,Miami Heat,Jaime Jaquez Jr.,,,,
miami,Florida,Miami Heat,Bam Adebayo,,,,
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,,,,
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,,,,
phoenix,Arizona,Phoenix Suns,Devin Armani Booker,,,,
phoenix,Arizona,Phoenix Suns,Kevin Durant Kevin Wayne Durant,,,,
san antonio,Texas,San Antonio Spurs,Victor Wembanyama,,,,
san antonio,Texas,San Antonio Spurs,Chris Paul,,,,
san antonio,Texas,San Antonio Spurs,Timothy Theodore Duncan,,,,
san francisco,California,Golden State Warriors,"Buddy Hield Chavano Rainer ""Buddy"" Hield",,,,
san francisco,California,Golden State Warriors,Andrew Christian Wiggins,,,,
san francisco,California,Golden State Warriors,Wardell Stephen Curry II,,,,
san francisco,California,Golden State Warriors,Jonathan Kuminga,,,,
san francisco,California,Golden State Warriors,Trayce Jackson-Davis,,,,
