name,position,team_name,founded_year
andrew christian wiggins,,Golden State Warriors,1946
caleb martin,Frontcourt,Philadelphia 76ers,1946
christopher emmanuel paul,Backcourt,San Antonio Spurs,1967
devin armani booker,Backcourt,Phoenix Suns,1968
duncan mcbryde robinson,,Miami Heat,1988
harrison bryce jordan barnes,,San Antonio Spurs,1967
jimmy butler,,Miami Heat,1988
jrue randall holiday,,Boston Celtics,1946
kevin wesley love,,Miami Heat,1988
kurt thomas,Frontcourt,New York Knicks,1946
kyrie andrew irving,,Dallas Mavericks,1980
paul clifton anthony george,,Philadelphia 76ers,1946
