name,position,team_name,founded_year,id,player.id,team.id
andrew christian wiggins,,Golden State Warriors,,,,
caleb martin,small forward,Philadelphia 76ers,,,,
christopher emmanuel paul,Backcourt,San Antonio Spurs,,,,
devin armani booker,Backcourt,Phoenix Suns,,,,
duncan mcbryde robinson,Backcourt,Miami Heat,,,,
harrison bryce jordan barnes,Backcourt,San Antonio Spurs,,,,
jimmy butler,,Miami Heat,,,,
jrue randall holiday,Backcourt,Boston Celtics,,,,
kevin wesley love,Backcourt,Miami Heat,,,,
kurt thomas,power forward-center,Miami Heat,,,,
kyrie andrew irving,Backcourt,Dallas Mavericks,,,,
paul clifton anthony george,,Philadelphia 76ers,,,,
