name,nationality,age,team_name,location,id,player.id,team.id
andrew christian wiggins,Canadian,29.0,Golden State Warriors,San Francisco,,,
anthony edwards,American,23.0,Minnesota Timberwolves,Minneapolis,,,
anthony marshon davis,American,30.0,Los Angeles Lakers,Los Angeles,,,
austin tyler reaves,American,26.0,Los Angeles Lakers,Los Angeles,,,
bill hewitt,American,79.0,Los Angeles Lakers,Los Angeles,,,
brandan keith wright,American,36.0,Golden State Warriors,San Francisco,,,
caleb martin,American,28.0,Miami Heat,"Miami, FL",,,
calvin ramsey,American,82.0,New York Knicks,New York City,,,
"chavano rainer ""buddy"" hield",Bahamian,31.0,Golden State Warriors,San Francisco,,,
christopher emmanuel paul,American,38.0,Phoenix Suns,"Phoenix, Arizona",,,
dan anderson,American,72.0,Portland Trail Blazers,"Portland, Oregon",,,
darnell hillman,USA,,Indiana Pacers,Indianapolis,,,
derrick chievous,American,56.0,Houston Rockets,Downtown Houston,,,
devin armani booker,American,27.0,Phoenix Suns,"Phoenix, Arizona",,,
draymond jamal green,American,32.0,Golden State Warriors,San Francisco,,,
drew edward gordon,American,34.0,Philadelphia 76ers,Philadelphia,,,
duncan mcbryde robinson,American,29.0,Miami Heat,"Miami, FL",,,
"edrice femi ""bam"" adebayo",American,27.0,Miami Heat,"Miami, FL",,,
gregory clinton foster,American,54.0,Indiana Pacers,Indianapolis,,,
harrison bryce jordan barnes,American,32.0,San Antonio Spurs,San Antonio,,,
"harry junior ""the horse"" gallatin",American,88.0,New York Knicks,New York City,,,
jaime jaquez,American and Mexican,23.0,Miami Heat,"Miami, FL",,,
jalen marquis brunson,American,27.0,New York Knicks,New York City,,,
jamal crawford,American,43.0,Brooklyn Nets,Brooklyn,,,
jayson christopher tatum,American,26.0,Boston Celtics,Boston,,,
joel hans embiid,Cameroonian-American,29.0,Philadelphia 76ers,Philadelphia,,,
jonathan malangu kuminga,Congolese,22.0,Golden State Warriors,San Francisco,,,
jrue randall holiday,American,34.0,Boston Celtics,Boston,,,
"kenneth ""apple"" green",American,64.0,New York Knicks,New York City,,,
kevin wayne durant,American,35.0,Phoenix Suns,"Phoenix, Arizona",,,
kevin wesley love,American,35.0,Miami Heat,"Miami, FL",,,
kevon grant looney,American,28.0,Golden State Warriors,San Francisco,,,
kobe bean bryant,American,42.0,Los Angeles Lakers,Los Angeles,,,
kyle forman anderson,American-Chinese,31.0,Golden State Warriors,San Francisco,,,
kyle terrell lowry,American,38.0,Philadelphia 76ers,Philadelphia,,,
kyrie andrew irving,American,32.0,Brooklyn Nets,Brooklyn,,,
lamar brandon stevens,American,27.0,Memphis Grizzlies,"Memphis, Tennessee",,,
lebron raymone james,American,39.0,Los Angeles Lakers,Los Angeles,,,
lonzo anderson ball,American,26.0,Chicago Bulls,Chicago,,,
mark price,American,59.0,Cleveland Cavaliers,Cleveland,,,
max berning fiedler,American,23.0,Philadelphia 76ers,Philadelphia,,,
"monti davis damon william ""monti"" davis",American,55.0,Philadelphia 76ers,Philadelphia,,,
"ogugua ""og"" anunoby",British,27.0,New York Knicks,New York City,,,
paul clifton anthony george,American,33.0,Los Angeles Clippers,Los Angeles,,,
rik smits,Dutch,57.0,Indiana Pacers,Indianapolis,,,
shaquille rashaun o'neal,American,,Miami Heat,"Miami, FL",,,
trayce jackson-davis,American,23.0,Golden State Warriors,San Francisco,,,
trent tucker,American,64.0,New York Knicks,New York City,,,
tyler christopher herro,American,24.0,Miami Heat,"Miami, FL",,,
vernon maxwell,American,58.0,Houston Rockets,Downtown Houston,,,
victor wembanyama,French,19.0,San Antonio Spurs,San Antonio,,,
wardell stephen curry,American,35.0,Golden State Warriors,San Francisco,,,
zach collins,American,27.0,San Antonio Spurs,San Antonio,,,
zachary thomas lavine,American,29.0,Chicago Bulls,Chicago,,,
