id,disease_name,disease_type,etiology,treatment_challenges
disease_7,Lung Cancer,neoplastic,smoking||secondhand smoke||environmental exposures||asbestos||radon||arsenic||chromium||radiation exposure,
disease_8,Multiple Myeloma,neoplastic,,
disease_24,Prostate Cancer,neoplastic,,side_effects||renal_failure_risk
disease_42,Low Back Pain,degenerative||traumatic||inflammatory||infectious||neoplastic||idiopathic||others,musculoskeletal_strain||herniated_disc||compressed_nerve_root||degenerative_disc||joint_disease||vertebral_fracture||tumor||inflammatory_condition||infection||gallbladder_disease||kidney_stone||kidney_infection||aortic_aneurysm,side_effects||addiction_risk||negative_drug_interactions
disease_46,Trigeminal Neuralgia,idiopathic||degenerative||vascular||traumatic||infectious||neoplastic||others,compression of trigeminal nerve||tumour||pressure from blood vessels||aneurysm||multiple sclerosis||nerve injury||shingles||post-herpetic neuralgia||trauma||infection||degeneration of teeth or jaw||ageing process,drug side effects||treatment intolerance||insufficient evidence for many interventions||complex pain management
disease_57,Stomach Cancer,neoplastic,"eating foods preserved by drying, smoking, salting, or pickling||smoking cigarettes",difficult to cure
disease_62,Metastatic Colorectal Cancer||mCRC,neoplastic,,
disease_77,Advanced Breast Cancer,neoplastic,,side effects
disease_79,Cancer,neoplastic,,
disease_89,Advanced Non-Small Cell Lung Cancer||advanced non-small–cell lung cancers||NSCLC||non-small cell lung cancer||non-squamous NSCLCs||squamous NSCLCs,neoplastic||inflammatory,,only a minority benefit from immunotherapy||high cost||identifying responders is critical
