university_name,academic_calendar,rank,file
Briar Cliff University,trimester-based,29,0588.txt
Cornell College,other-based,81,0978.txt
Hollins University,4-1-4-based, 105,0149.txt
Williams College,4-1-4-based,1,0884.txt
Hamline University,4-1-4-based,9,0126.txt
Catawba College,semester-based,15,0907.txt
Bethel St Paul,4-1-4-based,17,0319.txt
Hastings College,4-1-4-based,174,0137.txt
Massachusetts Maritime Academy,4-1-4-based,13,0255.txt
Harvey Mudd College,semester-based, 18,0136.txt
Luther College,4-1-4-based,81,0227.txt
University of Science and Arts of Oklahoma,trimester-based,14,0742.txt
United States Coast Guard Academy,semester-based,1,0632.txt
Converse College,4-1-4-based,15,0975.txt
United States Merchant Marine Academy,trimester-based,3,0633.txt
Union University,4-1-4-based,15,0630.txt
