university_name,year_founded,setting,file
Knox College,1837,urban,0193.txt
Barton College,1902,urban,0047.txt
Union College,1795,urban,0628.txt
Macalester College,1874,urban,0232.txt
Union University,1823,urban,0630.txt
Columbia College SC,1854,urban,0962.txt
Brigham Young University--Idaho,1888,urban,0590.txt
University of California--Davis,1905,urban,0646.txt
University of California--Riverside,1954,urban,0649.txt
Tulane University,1834,urban,0626.txt
California State University--Fresno,1911,urban,0859.txt
New York University,-10000,urban,0347.txt
St. Louis University,1818,urban,0537.txt
Syracuse University,1870,urban,0573.txt
Santa Fe University of Art and Design,1874,urban,0467.txt
University of North Carolina--Wilmington,1947,urban,0723.txt
Georgia Institute of Technology,1885,urban,0106.txt
Briar Cliff University,1930,urban,0588.txt
Jamestown College,1884,urban,0173.txt
Rensselaer Polytechnic Institute,1824,urban,0434.txt
Converse College,1889,urban,0975.txt
Georgetown University,1789,urban,0103.txt
Lawrence University,1847,urban,0204.txt
George Washington University,1821,urban,0104.txt
University of South Carolina--Upstate,1967,urban,0748.txt
Touro College,1971,urban,0616.txt
Barnard College,1889,urban,0046.txt
California State University--Fullerton,1957,urban,0860.txt
