team_name,location,city_name,state_name,city.id,id,team.id
atlanta hawks,Atlanta,Atlanta,Georgia,,,
boston celtics,Boston,Boston,Massachusetts,,,
charlotte hornets,Charlotte,Charlotte,North Carolina,,,
chicago bulls,Chicago,Chicago,Illinois,,,
dallas mavericks,Dallas,Dallas,Texas,,,
denver nuggets,Denver,Denver,Colorado,,,
golden state warriors,San Francisco,San Francisco,California,,,
houston rockets,Houston,Houston,Texas,,,
indiana pacers,Indianapolis,Indianapolis,Indiana,,,
los angeles clippers,Inglewood,Inglewood,California,,,
los angeles lakers,Los Angeles,Los Angeles,California,,,
memphis grizzlies,Memphis,Memphis,Tennessee,,,
miami heat,Miami,Miami,Florida,,,
milwaukee bucks,Milwaukee,Milwaukee,Wisconsin,,,
minnesota timberwolves,Minneapolis,Minneapolis,Minnesota,,,
new orleans pelicans,New Orleans,New Orleans,Louisiana,,,
new york knicks,New York City,New York City,New York,,,
oklahoma city thunder,Oklahoma City,Oklahoma City,Oklahoma,,,
orlando magic,Orlando,Orlando,Florida,,,
phoenix suns,Phoenix,Phoenix,Arizona,,,
portland trail blazers,Portland,Portland,Oregon,,,
san antonio spurs,San Antonio,San Antonio,Texas,,,
toronto raptors,Toronto,Toronto,Ontario,,,
utah jazz,Salt Lake City,Salt Lake City,Utah,,,
