city_name,state_name,team_name,name,city.id,id,player.id,team.id
chicago,Illinois,Chicago Bulls,Zach LaVine,,,,
chicago,Illinois,Chicago Bulls,Lonzo Ball,,,,
dallas,Texas,Dallas Mavericks,Kyrie Irving,,,,
detroit,Michigan,Detroit Pistons,Jarrett Jack,,,,
detroit,Michigan,Detroit Pistons,Isiah Thomas,,,,
detroit,Michigan,Detroit Pistons,Jaden Ivey,,,,
houston,Texas,Houston Rockets,John Lucas II,,,,
los angeles,California,Los Angeles Lakers,Anthony Davis,,,,
los angeles,California,Los Angeles Lakers,Earvin Johnson,,,,
los angeles,California,Los Angeles Lakers,D'Angelo Russell,,,,
miami,Florida,Miami Heat,Kevin Love,,,,
miami,Florida,Miami Heat,Tyler Herro,,,,
miami,Florida,Miami Heat,Duncan Robinson,,,,
miami,Florida,Miami Heat,Jimmy Butler,,,,
miami,Florida,Miami Heat,Jaime Jaquez Jr.,,,,
miami,Florida,Miami Heat,Bam Adebayo,,,,
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Antetokounmpo,,,,
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Drew Gordon,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Andre Drummond,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Joel Embiid,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Paul George,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Max Fiedler,,,,
philadelphia,Pennsylvania,Philadelphia 76ers,Kyle Lowry,,,,
san antonio,Texas,San Antonio Spurs,Tim Duncan,,,,
san antonio,Texas,San Antonio Spurs,Victor Wembanyama,,,,
san antonio,Texas,San Antonio Spurs,Zach Collins,,,,
