city_name,state_name,team_name,name
chicago,Illinois,Chicago Bulls,Lonzo Anderson Ball
chicago,Illinois,Chicago Bulls,Zachary Thomas LaVine
dallas,Texas,Dallas Mavericks,Kyrie Andrew Irving
detroit,Michigan,Detroit Pistons,Ausar XLNC Thompson
detroit,Michigan,Detroit Pistons,Jaden Edward Dhananjay Ivey
detroit,Michigan,Detroit Pistons,Cade Parker Cunningham
houston,Texas,Houston Rockets,Brandan Keith Wright
los angeles,California,Los Angeles Lakers,Austin Tyler Reaves
los angeles,California,Los Angeles Lakers,D'Angelo Russell
los angeles,California,Los Angeles Lakers,Anthony Marshon Davis Jr.
miami,Florida,Miami Heat,"Edrice Femi ""Bam"" Adebayo"
miami,Florida,Miami Heat,Jaime Jaquez Jr.
miami,Florida,Miami Heat,Jimmy Butler III
miami,Florida,Miami Heat,Duncan McBryde Robinson
miami,Florida,Miami Heat,Tyler Christopher Herro
miami,Florida,Miami Heat,Kevin Wesley Love
milwaukee,Wisconsin,Milwaukee Bucks,Giannis Sina Ugo Antetokounmpo
minneapolis,Minnesota,Minnesota Timberwolves,Anthony Edwards
philadelphia,Pennsylvania,Philadelphia 76ers,Kyle Terrell Lowry
philadelphia,Pennsylvania,Philadelphia 76ers,Max Berning Fiedler
philadelphia,Pennsylvania,Philadelphia 76ers,Caleb Martin
philadelphia,Pennsylvania,Philadelphia 76ers,Paul Clifton Anthony George
philadelphia,Pennsylvania,Philadelphia 76ers,Joel Hans Embiid
philadelphia,Pennsylvania,Philadelphia 76ers,Andre Jamal Drummond
philadelphia,Pennsylvania,Philadelphia 76ers,Lavoy Allen
san antonio,Texas,San Antonio Spurs,Harrison Bryce Jordan Barnes
san antonio,Texas,San Antonio Spurs,Zach Collins
san antonio,Texas,San Antonio Spurs,Victor Wembanyama
