position,nationality,count(name),avg(mvp_awards),sum(nba_championships)
Backcourt, ,1,0.0,0.0
Backcourt,American,13,0.6153846153846154,16.0
Backcourt,American  ,13,0.46153846153846156,13.0
Backcourt,American-Venezuelan  ,1,0.0,0.0
Backcourt,French  ,1,0.0,0.0
Backcourt,Greek-American  ,1,0.0,0.0
Backcourt,Serbian  ,1,0.0,0.0
Frontcourt,American,11,0.45454545454545453,19.0
Frontcourt,American  ,25,0.0,24.0
Frontcourt,Canadian,1,0.0,0.0
Frontcourt,Congolese,1,0.0,1.0
Frontcourt,Croatian  ,1,0.0,0.0
Frontcourt,Dominican,1,0.0,1.0
Frontcourt,Dutch  ,1,0.0,0.0
Frontcourt,French,1,0.0,0.0
Frontcourt,Greek,1,0.0,0.0
Frontcourt,Greek and Nigerian,1,2.0,1.0
Frontcourt,Slovenian  ,1,0.0,0.0
