name,nationality,age,team
Dick Rosenthal,USA,91.0,Fort Wayne Pistons
Dick Surhoff,USA,,New York Knicks || Milwaukee Hawks
Don Anielak,USA,,New York Knicks
Fred Boyd,USA,73.0,
Guy William Rodgers,USA,65.0,
James Patrick Walsh,USA,,Philadelphia Warriors
Jim Brasco,USA,,Syracuse Nationals || Milwaukee Hawks
Mark Price,USA,,Charlotte 49ers
"Marvin ""Mickey"" Rottner",USA,,Chicago Stags
Sidney Harold Tanenbaum,USA,,New York Knicks || Baltimore Bullets
Toby Kimball,USA,,Boston Celtics || San Diego Rockets || Milwaukee Bucks || Kansas City Kings || Philadelphia 76ers || New Orleans Jazz
