name,age,team,file
Jordan Crawford,35,Sichuan Blue Whales,Jordan_Crawford.txt
Lavoy Allen,35,Temple University,Lavoy_Allen.txt
Anthony Edwards,23,Minnesota Timberwolves,Anthony_Edwards.txt
Michael Carter-Williams,33,Capitanes de Ciudad de México,Michael_Carter-Williams.txt
Kevin Wayne Durant,36,Phoenix Suns,Kevin_Durant.txt
Mychel Thompson,36,NAN,Mychel_Thompson .txt
Jabari Dominic Walker,22,Portland Trail Blazers,Jabari_Walker.txt
Antonius Cleveland,30,Lokomotiv Kuban,Antonius_Cleveland.txt
Devontae Calvin Cacok,28,Virtus Bologna,Devontae_Cacok.txt
Ronald Moore,36,Debreceni EAC,Ronald_Moore.txt
Brandon Goodwin,29,Gigantes de Carolina,Brandon_Goodwin.txt
Anthony Marshon Davis Jr.,31,Los Angeles Lakers,Anthony_Davis.txt
Hamidou Diallo,26,Capital City Go-Go,Hamidou_Diallo.txt
Lamar Stevens,27,Memphis Grizzlies,Lamar_Stevens.txt
Donta Hall,27,Saski Baskonia,Donta_Hall.txt
Carrick Felix,34, Cleveland Cavaliers,Carrick_Felix.txt
D. J. White,38,Oklahoma City Blue,D_J_White.txt
