court_name,hearing_year,legal_basis,file
Federal Court of Australia,2006,Trade Practices Act 1974 Cth,08_995.txt
 Federal Court,2006,Trade Practices Act 1974 Cth,06_487.txt
 Federal Court of Australia,2006,Trade Practices Act 1974 Cth,07_1615.txt
NAN,2006,Trade Practices Act 1974 Cth,07_54.txt
FEDERAL COURT OF AUSTRALIA,2006,Trade Practices Act 1974 (Cth),06_157.txt
NAN,2006,Trade Practices Act 1974 Cth,06_192.txt
NAN,2006,Trade Practices Act 1974 Cth,07_1445.txt
Federal Court of Australia,2006,Trade Practices Act 1974 Cth,08_55.txt
Federal Court of Australia,2006,Trade Practices Act 1974 Cth,06_364.txt
Federal Court of Australia,2006,Trade Practices Act 1974 Cth,06_515.txt
