age,nba_team,name,id,owner.id
,Oklahoma City Thunder,clay bennett,,
,Orlando Magic,daniel g devos,,
78.0,Denver Nuggets,enos stanley kroenke,,
77.0,New Orleans Pelicans,gayle marie lajaunie bird benson,,
,Indiana Pacers,herbert simon,,
88.0,Chicago Bulls,jerry michael reinsdorf,,
61.0,Brooklyn Nets,joseph chung-hsin tsai,,
59.0,Washington Commanders,joshua jordan harris,,
67.0,Dallas Mavericks,mark cuban,,
76.0,Miami Heat,micky arison,,
68.0,Los Angeles Clippers,steven anthony ballmer,,
66.0,Houston Rockets,tilman joseph fertitta,,
,Detroit Pistons,tom gores,,
