name,position,team_name,founded_year
Buddy Hield,Backcourt,Golden State Warriors,1946
D'Angelo Russell,Point Guard,Los Angeles Lakers,1946
Kyrie Andrew Irving,,Dallas Mavericks,1980
Jayson Tatum,Forward,Boston Celtics,1946
Andrew Christian Wiggins,Forward,Golden State Warriors,1946
OG Anunoby Ogugua,,New York Knicks,1946
Jaylen Marselles Brown,Shooting Guard,Boston Celtics,1946
Jrue Holiday,Backcourt,Boston Celtics,1946
Kevin Wesley Love,Frontcourt,Cleveland Cavaliers,1970
Giannis Antetokounmpo,Power Forward,Milwaukee Bucks,1968
Wardell Stephen Curry II,Point Guard,Golden State Warriors,1946
Al Horford,Backcourt,Boston Celtics,1946
Duncan McBryde Robinson,Backcourt,Miami Heat,1988
Anthony Marshon Davis Jr.,Power forward,Los Angeles Lakers,1946
Kyle Anderson,Forward,Golden State Warriors,1946
LeBron Raymone James Sr.,small forward and power forward,Los Angeles Lakers,1946
Jimmy Butler,Forward,Miami Heat,1988
Kevon Looney,Backcourt,Golden State Warriors,1946
Zach LaVine,Backcourt,Chicago Bulls,1966
Devin Armani Booker,Shooting Guard,Phoenix Suns,1968
Draymond Jamal Green,Frontcourt,Golden State Warriors,1946
Zach Collins,Center,San Antonio Spurs,1967
Lonzo Anderson Ball,Point guard,Chicago Bulls,1966
Jalen Marquis Brunson,Point Guard,New York Knicks,1946
Shaquille Rashaun O'Neal,Frontcourt,Los Angeles Lakers,1946
Christopher Emmanuel Paul,Point Guard,San Antonio Spurs,1967
Harrison Bryce Jordan Barnes,,San Antonio Spurs,1967
Bam Adebayo,Backcourt,Miami Heat,1988
Carrick Felix,Shooting Guard,Cleveland Cavaliers,1970
"Kenneth ""Apple"" Green",,New York Knicks,1946
Timothy Theodore Duncan,Power Forward,San Antonio Spurs,1967
Rik Smits,Center,Indiana Pacers,1967
Darnell Hillman,Forward,Indiana Pacers,1967
Kurt Vincent Thomas,Power forward-center,Miami Heat,1988
Kevin Wayne Durant,Small Forward,Phoenix Suns,1968
Joseph Xavier Forte,Shooting Guard,Boston Celtics,1946
,Shooting Guard,Brooklyn Nets,1967
Dennis Schröder,,Brooklyn Nets,1967
