name,team_name,city_name,state_name,city.id,id,player.id,team.id
aaron williams,Utah Jazz,Salt Lake City,Utah,,,,
andrew christian wiggins,Golden State Warriors,San Francisco,California,,,,
anthony edwards,Minnesota Timberwolves,Minneapolis,Minnesota,,,,
christopher emmanuel paul,San Antonio Spurs,San Antonio,Texas,,,,
darnell hillman,Indiana Pacers,Indianapolis,Indiana,,,,
devin armani booker,Phoenix Suns,Phoenix,Arizona,,,,
draymond jamal green,Golden State Warriors,San Francisco,California,,,,
duncan mcbryde robinson,Miami Heat,Miami,Florida,,,,
"edrice femi ""bam"" adebayo",Miami Heat,Miami,Florida,,,,
giannis sina ugo antetokounmpo,Milwaukee Bucks,Milwaukee,Wisconsin,,,,
greg fillmore gregory paul fillmore,New York Knicks,New York City,New York,,,,
harrison bryce jordan barnes,San Antonio Spurs,San Antonio,Texas,,,,
"harry junior ""the horse"" gallatin",New York Knicks,New York City,New York,,,,
jabari dominic walker,Portland Trail Blazers,Portland,Oregon,,,,
jaime jaquez,Miami Heat,Miami,Florida,,,,
jalen marquis brunson,New York Knicks,New York City,New York,,,,
jarrett jack,New York Knicks,New York City,New York,,,,
jaylen marselles brown,Boston Celtics,Boston,Massachusetts,,,,
jayson christopher tatum,Boston Celtics,Boston,Massachusetts,,,,
jimmy butler,Miami Heat,Miami,Florida,,,,
jonathan malangu kuminga,Golden State Warriors,San Francisco,California,,,,
jrue randall holiday,Boston Celtics,Boston,Massachusetts,,,,
"kenneth ""apple"" green",New York Knicks,New York City,New York,,,,
kevin wayne durant,Phoenix Suns,Phoenix,Arizona,,,,
kevin wesley love,Miami Heat,Miami,Florida,,,,
kevon grant looney,Golden State Warriors,San Francisco,California,,,,
kurt thomas,New York Knicks,New York City,New York,,,,
kyle forman anderson,Golden State Warriors,San Francisco,California,,,,
kyrie andrew irving,Dallas Mavericks,Dallas,Texas,,,,
lamar brandon stevens,Boston Celtics,Boston,Massachusetts,,,,
lonzo anderson ball,Chicago Bulls,Chicago,Illinois,,,,
mark price,Cleveland Cavaliers,Cleveland,Ohio,,,,
"ogugua ""og"" anunoby",New York Knicks,New York City,New York,,,,
rik smits,Indiana Pacers,Indianapolis,Indiana,,,,
rodney strickland,New York Knicks,New York City,New York,,,,
shaquille rashaun o'neal,Orlando Magic,Orlando,Florida,,,,
trayce jackson-davis,Golden State Warriors,San Francisco,California,,,,
trent tucker,New York Knicks,New York City,New York,,,,
tyler christopher herro,Miami Heat,Miami,Florida,,,,
vernon maxwell,Houston Rockets,Houston,Texas,,,,
victor wembanyama,San Antonio Spurs,San Antonio,Texas,,,,
wardell stephen curry,Golden State Warriors,San Francisco,California,,,,
zach collins,San Antonio Spurs,San Antonio,Texas,,,,
zachary thomas lavine,Chicago Bulls,Chicago,Illinois,,,,
