name,college,team_name,gdp
Jay Vincent Jay Fletcher Vincent,Michigan State Spartans,Los Angeles Lakers,
Mark Price,Georgia Tech,Orlando Magic,
Anthony Marshon Davis Jr.,Kentucky,Los Angeles Lakers,
Brandan Keith Wright,University of North Carolina at Chapel Hill,Houston Rockets,
"Kenneth ""Apple"" Green",Pan American University,New York Knicks,
Don Anielak,Southwest Missouri State University,New York Knicks,
Philip Douglas Jackson,University of North Dakota,Los Angeles Lakers,
Jarrett Jack,Georgia Tech,Detroit Pistons,
Lavoy Allen,Temple University,Philadelphia 76ers,518.5
Magic Johnson,Michigan State,Los Angeles Lakers,
Isiah Thomas,Indiana Hoosiers,Detroit Pistons,
Dan Anderson,,Portland Trail Blazers,
Trent Tucker,University of Minnesota,Chicago Bulls,689000
Guy William Rodgers,Temple University,Milwaukee Bucks,"102,000,000,000"
Vernon Maxwell,University of Florida,Dallas Mavericks,
Tim Duncan,Wake Forest University,San Antonio Spurs,
Calvin Ramsey,NYU,New York Knicks,
Derrick Chievous,University of Missouri,Cleveland Cavaliers,
Rik Smits,Marist College,Indiana Pacers,
Anthony Edwards,Georgia,Minnesota Timberwolves,
"Harry Junior ""The Horse"" Gallatin",Northeast Missouri State Teachers' College,Detroit Pistons,
Darnell Hillman,San Jose State University,Golden State Warriors,252200
Kevin Wayne Durant,University of Texas at Austin,Phoenix Suns,362000
Rodney Strickland,DePaul University,Houston Rockets,
Steve Kerr,University of Arizona,Golden State Warriors,252200
Gregory Clinton Foster,UTEP,Indiana Pacers,
Jabari Dominic Walker,Colorado,Portland Trail Blazers,
Kermit Washington,American University,Golden State Warriors,252200
Greg Fillmore Gregory Paul Fillmore,Cheyney University of Pennsylvania,New York Knicks,
John Harding Lucas II,University of Maryland,Houston Rockets,
Garfield Smith,,Boston Celtics,
"Monti Davis DaMon William ""Monti"" Davis",Tennessee State University,Dallas Mavericks,
Trayce Jackson-Davis,Indiana Hoosiers,Golden State Warriors,252200
Andre Jamal Drummond,University of Connecticut,Philadelphia 76ers,518.5
"Chavano Rainer ""Buddy"" Hield",Oklahoma Sooners,Golden State Warriors,252200
D'Angelo Russell,Ohio State,Los Angeles Lakers,
Joel Hans Embiid,University of Kansas,Philadelphia 76ers,518.5
Paul Clifton Anthony George,Fresno State,Philadelphia 76ers,518.5
Kyrie Andrew Irving,Duke University,Dallas Mavericks,
Jayson Christopher Tatum,Duke University,Boston Celtics,
Andrew Christian Wiggins,Kansas Jayhawks,Golden State Warriors,252200
"Ogugua ""OG"" Anunoby Jr.",Indiana University,New York Knicks,
Jaylen Marselles Brown,"University of California, Berkeley",Boston Celtics,
Victor Wembanyama,,San Antonio Spurs,
Jrue Randall Holiday,UCLA,Boston Celtics,
Kevin Wesley Love,UCLA,Miami Heat,344.9
Giannis Sina Ugo Antetokounmpo,,Milwaukee Bucks,"102,000,000,000"
Wardell Stephen Curry II,Davidson,Golden State Warriors,252200
Alfred Joel Horford Reynoso,University of Florida,Boston Celtics,
Tyler Christopher Herro,University of Kentucky,Miami Heat,344.9
Kyle Forman Anderson,UCLA,Golden State Warriors,252200
Cade Parker Cunningham,Oklahoma State,Detroit Pistons,
LeBron Raymone James Sr.,,Los Angeles Lakers,
Jimmy Butler III,Marquette University,Miami Heat,344.9
Kevon Grant Looney,UCLA,Golden State Warriors,252200
Zachary Thomas LaVine,UCLA,Chicago Bulls,689000
Jaden Edward Dhananjay Ivey,Purdue,Detroit Pistons,
Kyle Terrell Lowry,Villanova Wildcats,Philadelphia 76ers,518.5
Devin Armani Booker,Kentucky Wildcats,Phoenix Suns,362000
Draymond Jamal Green,Michigan State University,Golden State Warriors,252200
Zach Collins,Gonzaga Bulldogs,San Antonio Spurs,
Jonathan Malangu Kuminga,,Golden State Warriors,252200
Lonzo Anderson Ball,UCLA,Chicago Bulls,689000
Jaime Jaquez Jr.,UCLA,Miami Heat,344.9
Ausar XLNC Thompson,,Detroit Pistons,
Jalen Marquis Brunson,Villanova University,New York Knicks,
Shaquille Rashaun O'Neal,Louisiana State University (LSU),Boston Celtics,
Kobe Bean Bryant,,Los Angeles Lakers,
Christopher Emmanuel Paul,Wake Forest University,San Antonio Spurs,
Harrison Bryce Jordan Barnes,North Carolina Tar Heels,San Antonio Spurs,
"Edrice Femi ""Bam"" Adebayo",University of Kentucky,Miami Heat,344.9
