name,position,team_name,founded_year,id,player.id,team.id
andrew christian wiggins,Frontcourt,Golden State Warriors,1946,,,
anthony marshon davis,power forward,Los Angeles Lakers,1946,,,
"chavano rainer ""buddy"" hield",Backcourt,Golden State Warriors,1946,,,
christopher emmanuel paul,Point Guard,San Antonio Spurs,1967,,,
devin armani booker,Backcourt,Phoenix Suns,1968,,,
duncan mcbryde robinson,Backcourt,Miami Heat,1988,,,
"edrice femi ""bam"" adebayo",Frontcourt,Miami Heat,1988,,,
giannis sina ugo antetokounmpo,forward and sometimes described as a point forward,Milwaukee Bucks,1968,,,
jalen marquis brunson,Point Guard,Dallas Mavericks,1980,,,
jaylen marselles brown,shooting guard,Boston Celtics,1946,,,
jayson christopher tatum,Frontcourt,Boston Celtics,1946,,,
jimmy butler,Forward,Miami Heat,1988,,,
jrue randall holiday,Backcourt,Boston Celtics,1946,,,
kevin wayne durant,small forward,Phoenix Suns,1968,,,
kevin wesley love,Forward,Miami Heat,1988,,,
kyrie andrew irving,Backcourt,Cleveland Cavaliers,1970,,,
lamar brandon stevens,,Cleveland Cavaliers,1970,,,
lebron raymone james,Frontcourt,Los Angeles Lakers,1946,,,
lonzo anderson ball,point guard,Chicago Bulls,1966,,,
"ogugua ""og"" anunoby",Frontcourt,New York Knicks,1946,,,
wardell stephen curry,Point guard,Golden State Warriors,1946,,,
zachary thomas lavine,Backcourt,Chicago Bulls,1966,,,
