name,birth_date,team_name,area,city.id,id,player.id,team.id
aaron williams,1971/10/2,Utah Jazz,286.0,,,,
andrew christian wiggins,1995/2/23,Golden State Warriors,232.0,,,,
anthony edwards,2001/8/5,Minnesota Timberwolves,152.8,,,,
brandan keith wright,1987/10/5,Golden State Warriors,232.0,,,,
"chavano rainer ""buddy"" hield",1992/12/17,Golden State Warriors,232.0,,,,
christopher emmanuel paul,1985/5/6,San Antonio Spurs,1205.4,,,,
derrick chievous,1967/7/3,Houston Rockets,637.4,,,,
devin armani booker,1996/10/30,Phoenix Suns,517.9,,,,
draymond jamal green,1990/3/4,Golden State Warriors,232.0,,,,
erick strickland,1973/11/25,Dallas Mavericks,385.8,,,,
garfield smith,1945/11/18,Boston Celtics,232.1,,,,
giannis sina ugo antetokounmpo,1994/12/6,Milwaukee Bucks,250.71,,,,
harrison bryce jordan barnes,1992/5/30,San Antonio Spurs,1205.4,,,,
jay vincent jay fletcher vincent,1959/6/10,Dallas Mavericks,385.8,,,,
jaylen marselles brown,1996/10/24,Boston Celtics,232.1,,,,
jayson christopher tatum,1998/3/3,Boston Celtics,232.1,,,,
john harding lucas,1953/10/31,Houston Rockets,637.4,,,,
jonathan malangu kuminga,2002/10/6,Golden State Warriors,232.0,,,,
jrue randall holiday,1990/6/12,Boston Celtics,232.1,,,,
kevon grant looney,1996/2/6,Golden State Warriors,232.0,,,,
kyle forman anderson,1993/9/20,Golden State Warriors,232.0,,,,
kyrie andrew irving,1992/3/23,Dallas Mavericks,385.8,,,,
rik smits,1966/8/23,Indiana Pacers,367.9,,,,
shaquille rashaun o'neal,1972/3/6,Sacramento Kings,100.1,,,,
trayce jackson-davis,2000/2/22,Golden State Warriors,232.0,,,,
vernon maxwell,1965/9/12,Houston Rockets,637.4,,,,
victor wembanyama,2004/1/4,San Antonio Spurs,1205.4,,,,
wardell stephen curry,1988/3/14,Golden State Warriors,232.0,,,,
zach collins,1997/11/19,San Antonio Spurs,1205.4,,,,
