name,position,nationality,team_name,ownership,founded_year
Chavano Rainer 'Buddy' Hield,Backcourt,Bahamian,Golden State Warriors,,1946
Chavano Rainer 'Buddy' Hield,Backcourt,Bahamian,Golden State Warriors,,1946
Chavano Rainer 'Buddy' Hield,Backcourt,Bahamian,Golden State Warriors,,1946
D'Angelo Russell,Backcourt,American,Los Angeles Lakers,Jerry Buss (1979-2011),1946
D'Angelo Russell,Backcourt,American,Los Angeles Lakers,,1947
D'Angelo Russell,Backcourt,American,Los Angeles Lakers,,1947
D'Angelo Russell,Backcourt,American,Los Angeles Lakers,AEG and L.A. Arena Company,1947
D'Angelo Russell,Backcourt,American,Los Angeles Lakers,Jeanie Buss,1947
D'Angelo Russell,Backcourt,,Brooklyn Nets,,1967
D'Angelo Russell,Backcourt,,Minnesota Timberwolves,"Michael Bloomberg, Marc Lore, Alex Rodriguez",1947
D'Angelo Russell,Backcourt,,Minnesota Timberwolves,,1989
D'Angelo Russell,Backcourt,,Minnesota Timberwolves,Glen Taylor,1989
D'Angelo Russell,Backcourt,,Los Angeles Lakers,Jerry Buss (1979-2011),1946
D'Angelo Russell,Backcourt,,Los Angeles Lakers,,1947
D'Angelo Russell,Backcourt,,Los Angeles Lakers,,1947
D'Angelo Russell,Backcourt,,Los Angeles Lakers,AEG and L.A. Arena Company,1947
D'Angelo Russell,Backcourt,,Los Angeles Lakers,Jeanie Buss,1947
Joel Embiid,Frontcourt,Cameroonian-American,Philadelphia 76ers,,1898
Joel Embiid,Frontcourt,Cameroonian-American,Philadelphia 76ers,,1946
Joel Embiid,Frontcourt,Cameroonian-American,Philadelphia 76ers,,1946
Joel Embiid,Frontcourt,Cameroonian-American,Philadelphia 76ers,Apollo Global Management co-founder Josh Harris and an investment group,1946
Joel Embiid,Frontcourt,Cameroonian-American,Philadelphia 76ers,Harris Blitzer Sports & Entertainment (HBSE),1946
Joel Embiid,Frontcourt,Cameroonian-American,Philadelphia 76ers,,1963
Joel Embiid,Frontcourt,Cameroonian-American,Philadelphia 76ers,,1966
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1898
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1946
Joel Embiid,Frontcourt,Cameroon,Philadelphia 76ers,,1946
